Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 406.528;   7.726;   1.383;     359
Sjælland; 145.438;   2.122;     553;     124
Syddanmark; 187.469;   1.073;     256;      35
Midtjylland; 202.349;   1.693;     317;      69
Nordjylland; 107.849;     602;     139;      25
I alt i Danmark;1.049.633;  13.216;   2.648;     612
