Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 579.959;   8.680;   1.422;     363
Sjælland; 215.021;   2.505;     586;     127
Syddanmark; 292.520;   1.381;     264;      35
Midtjylland; 367.156;   3.039;     362;      71
Nordjylland; 162.881;     792;     151;      28
I alt i Danmark;1.617.537;  16.397;   2.785;     624
