Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 624.300;   9.005;   1.431;     363
Sjælland; 231.073;   2.552;     590;     127
Syddanmark; 322.754;   1.535;     267;      36
Midtjylland; 403.615;   3.194;     365;      71
Nordjylland; 176.536;     837;     153;      29
I alt i Danmark;1.758.278;  17.123;   2.806;     626
