Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 736.261;  11.211;   1.518;     368
Sjælland; 274.099;   2.976;     602;     127
Syddanmark; 401.823;   2.116;     285;      37
Midtjylland; 468.571;   3.584;     385;      71
Nordjylland; 206.341;   1.220;     168;      32
I alt i Danmark;2.087.095;  21.107;   2.958;     635
