Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 435.758;   7.882;   1.392;     360
Sjælland; 155.339;   2.199;     561;     125
Syddanmark; 200.945;   1.110;     258;      35
Midtjylland; 218.748;   1.733;     320;      69
Nordjylland; 115.193;     618;     140;      26
I alt i Danmark;1.125.983;  13.542;   2.671;     615
