Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 606.043;   8.826;   1.428;     363
Sjælland; 224.646;   2.529;     588;     127
Syddanmark; 308.880;   1.441;     264;      35
Midtjylland; 389.697;   3.126;     363;      71
Nordjylland; 171.079;     820;     153;      28
I alt i Danmark;1.700.345;  16.742;   2.796;     624
