Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 681.277;  10.015;   1.475;     364
Sjælland; 252.442;   2.773;     593;     127
Syddanmark; 363.686;   1.825;     276;      37
Midtjylland; 440.306;   3.366;     375;      71
Nordjylland; 192.185;     969;     160;      30
I alt i Danmark;1.929.896;  18.948;   2.879;     629
