Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 540.240;   8.498;   1.413;     363
Sjælland; 198.015;   2.457;     583;     127
Syddanmark; 262.019;   1.299;     262;      35
Midtjylland; 322.015;   2.845;     350;      70
Nordjylland; 148.955;     746;     147;      26
I alt i Danmark;1.471.244;  15.845;   2.755;     621
