Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 574.203;   8.650;   1.420;     363
Sjælland; 212.287;   2.498;     584;     127
Syddanmark; 287.930;   1.371;     264;      35
Midtjylland; 358.860;   3.007;     362;      71
Nordjylland; 160.742;     781;     151;      27
I alt i Danmark;1.594.022;  16.307;   2.781;     623
