Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 506.410;   8.293;   1.405;     363
Sjælland; 185.172;   2.408;     577;     127
Syddanmark; 238.227;   1.231;     261;      35
Midtjylland; 280.701;   2.550;     341;      70
Nordjylland; 136.808;     693;     144;      26
I alt i Danmark;1.347.318;  15.175;   2.728;     621
