Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.016.916;  23.872;   1.999;     421
Sjælland; 386.596;   5.867;     700;     131
Syddanmark; 563.165;   5.991;     428;      52
Midtjylland; 639.492;   9.142;     576;      76
Nordjylland; 296.667;   4.139;     263;      48
I alt i Danmark;2.902.836;  49.011;   3.966;     728
