Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 981.008;  20.904;   1.900;     413
Sjælland; 371.656;   5.141;     683;     131
Syddanmark; 540.221;   5.156;     387;      50
Midtjylland; 613.787;   8.003;     543;      76
Nordjylland; 283.256;   3.452;     238;      45
I alt i Danmark;2.789.928;  42.656;   3.751;     715
