Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 673.177;   9.877;   1.463;     364
Sjælland; 249.200;   2.746;     592;     127
Syddanmark; 357.447;   1.770;     274;      37
Midtjylland; 435.306;   3.326;     374;      71
Nordjylland; 189.603;     939;     158;      30
I alt i Danmark;1.904.733;  18.658;   2.861;     629
