Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 452.959;   7.951;   1.394;     360
Sjælland; 162.163;   2.264;     566;     126
Syddanmark; 208.995;   1.138;     259;      35
Midtjylland; 228.843;   1.818;     327;      69
Nordjylland; 120.377;     635;     141;      26
I alt i Danmark;1.173.337;  13.806;   2.687;     616
