Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 397.124;   7.666;   1.378;     358
Sjælland; 142.123;   2.105;     553;     124
Syddanmark; 183.275;   1.070;     256;      35
Midtjylland; 197.102;   1.689;     317;      69
Nordjylland; 105.488;     598;     139;      25
I alt i Danmark;1.025.112;  13.128;   2.643;     611
