Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 974.943;  20.486;   1.888;     410
Sjælland; 369.347;   5.050;     681;     130
Syddanmark; 535.575;   4.967;     386;      50
Midtjylland; 608.798;   7.832;     532;      75
Nordjylland; 280.835;   3.317;     238;      44
I alt i Danmark;2.769.498;  41.652;   3.725;     709
