Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 230.983;   6.939;   1.190;     347
Sjælland;  87.265;   1.943;     483;     120
Syddanmark; 112.379;   1.028;     250;      35
Midtjylland; 118.800;   1.611;     290;      69
Nordjylland;  58.065;     438;     102;      22
I alt i Danmark; 607.492;  11.959;   2.315;     593
