Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 853.646;  14.752;   1.652;     380
Sjælland; 317.889;   3.775;     629;     129
Syddanmark; 461.875;   2.951;     319;      37
Midtjylland; 523.435;   4.767;     423;      71
Nordjylland; 243.753;   1.823;     192;      34
I alt i Danmark;2.400.598;  28.068;   3.215;     651
