Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 174.746;   6.511;   1.142;     324
Sjælland;  65.775;   1.831;     473;     116
Syddanmark;  87.047;     992;     240;      32
Midtjylland;  91.674;   1.590;     287;      69
Nordjylland;  46.358;     434;     100;      22
I alt i Danmark; 465.600;  11.358;   2.242;     563
