Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 326.589;   7.404;   1.359;     353
Sjælland; 118.743;   2.036;     544;     124
Syddanmark; 150.671;   1.051;     254;      35
Midtjylland; 159.950;   1.656;     317;      69
Nordjylland;  84.193;     559;     132;      25
I alt i Danmark; 840.146;  12.706;   2.606;     606
