Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 839.466;  14.350;   1.634;     380
Sjælland; 311.127;   3.655;     627;     129
Syddanmark; 453.590;   2.861;     313;      37
Midtjylland; 514.794;   4.532;     414;      71
Nordjylland; 239.826;   1.743;     191;      33
I alt i Danmark;2.358.803;  27.141;   3.179;     650
