Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.03.;Krāslavas novads;0032000;no 1 līdz 5;8
2021.07.03.;Kuldīgas novads;0033000;6;16
2021.07.03.;Ķekavas novads;0034000;no 1 līdz 5;17
2021.07.03.;Liepāja;0005000;no 1 līdz 5;15
2021.07.03.;Limbažu novads;0035000;no 1 līdz 5;13
2021.07.03.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Ludzas novads;0037000;0;8
2021.07.03.;Madonas novads;0038000;no 1 līdz 5;8
2021.07.03.;Mārupes novads;0039000;0;14
2021.07.03.;Ogres novads;0040000;no 1 līdz 5;10
2021.07.03.;Olaines novads;0041000;no 1 līdz 5;9
2021.07.03.;Preiļu novads;0042000;no 1 līdz 5;10
2021.07.03.;Rēzekne;0006000;no 1 līdz 5;9
2021.07.03.;Rēzeknes novads;0043000;no 1 līdz 5;14
2021.07.03.;Rīga;0001000;73;348
2021.07.03.;Ropažu novads;0044000;no 1 līdz 5;11
2021.07.03.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.03.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.03.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.03.;Siguldas novads;0048000;11;40
2021.07.03.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Talsu novads;0051000;no 1 līdz 5;8
2021.07.03.;Tukuma novads;0052000;8;19
2021.07.03.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.03.;Valmieras novads;0054000;no 1 līdz 5;24
2021.07.03.;Varakļānu novads;0055000;0;0
2021.07.03.;Ventspils;0007000;9;23
2021.07.03.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.04.;Adrese nav norādīta;Nav;…;…
2021.07.04.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.04.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Augšdaugavas novads;0022000;6;31
2021.07.04.;Ādažu novads;0023000;no 1 līdz 5;7
2021.07.04.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Bauskas novads;0025000;0;15
2021.07.04.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Daugavpils;0002000;6;49
2021.07.04.;Dienvidkurzemes novads;0027000;0;9
2021.07.04.;Dobeles novads;0028000;no 1 līdz 5;8
2021.07.04.;Gulbenes novads;0029000;0;0
2021.07.04.;Jelgava;0003000;no 1 līdz 5;22
2021.07.04.;Jelgavas novads;0030000;no 1 līdz 5;6
2021.07.04.;Jēkabpils novads;0031000;no 1 līdz 5;15
2021.07.04.;Jūrmala;0004000;no 1 līdz 5;14
2021.07.04.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.04.;Kuldīgas novads;0033000;6;12
2021.07.04.;Ķekavas novads;0034000;no 1 līdz 5;16
2021.07.04.;Liepāja;0005000;no 1 līdz 5;15
2021.07.04.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.04.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Ludzas novads;0037000;0;8
2021.07.04.;Madonas novads;0038000;no 1 līdz 5;8
2021.07.04.;Mārupes novads;0039000;0;14
2021.07.04.;Ogres novads;0040000;no 1 līdz 5;10
2021.07.04.;Olaines novads;0041000;no 1 līdz 5;10
2021.07.04.;Preiļu novads;0042000;no 1 līdz 5;10
2021.07.04.;Rēzekne;0006000;no 1 līdz 5;6
2021.07.04.;Rēzeknes novads;0043000;no 1 līdz 5;13
2021.07.04.;Rīga;0001000;94;337
2021.07.04.;Ropažu novads;0044000;no 1 līdz 5;12
2021.07.04.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.04.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.04.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.04.;Siguldas novads;0048000;11;38
2021.07.04.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Talsu novads;0051000;no 1 līdz 5;8
2021.07.04.;Tukuma novads;0052000;8;17
2021.07.04.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.04.;Valmieras novads;0054000;no 1 līdz 5;24
2021.07.04.;Varakļānu novads;0055000;0;0
2021.07.04.;Ventspils;0007000;9;22
2021.07.04.;Ventspils novads;0056000;0;no 1 līdz 5
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
