Skupaj,31,449,2865
Ajdovščina,0,0,15
Ankaran,0,1,1
Beltinci,0,0,3
Benedikt,0,0,1
Bistrica ob Sotli,0,0,4
Bled,0,2,4
Bloke,0,0,4
Borovnica,0,1,2
Bovec,0,0,1
Braslovče,0,0,1
Brezovica,0,4,21
Brežice,0,4,7
Cankova,0,0,1
Celje,0,26,65
Cerklje na Gorenjskem,0,0,3
Cerknica,0,1,20
Cerkno,0,0,2
Cerkvenjak,0,0,2
Cirkulane,0,0,3
Črenšovci,0,0,8
Črna na Koroškem,0,0,4
Črnomelj,0,6,20
Destrnik,0,0,1
Dobje,0,0,1
Dobrepolje,0,1,2
Dobrna,0,2,4
Dobrova - Polhov Gradec,0,0,10
Dobrovnik/Dobronak,0,0,1
Dol pri Ljubljani,0,0,3
Dolenjske Toplice,0,2,6
Domžale,0,2,39
Dravograd,0,7,32
Duplek,0,0,3
Gorje,0,1,4
Gornja Radgona,1,4,6
Grad,0,2,2
Grosuplje,0,11,21
Hajdina,0,0,2
Hoče - Slivnica,0,0,4
Horjul,0,0,28
Hrastnik,0,1,86
Hrpelje - Kozina,0,0,3
Idrija,0,2,8
Ig,1,3,14
Ilirska Bistrica,0,4,20
Ivančna Gorica,0,1,9
Izola/Isola,0,2,6
Jesenice,0,1,23
Kamnik,0,4,40
Kanal,0,0,2
Kidričevo,0,2,3
Kobarid,0,0,1
Kobilje,0,0,3
Kočevje,0,1,10
Komenda,0,1,7
Koper/Capodistria,0,8,47
Kostanjevica na Krki,0,1,2
Kozje,0,0,2
Kranj,2,9,62
Kranjska Gora,0,0,3
Križevci,0,1,3
Krško,0,4,16
Kungota,0,0,3
Kuzma,0,1,2
Laško,0,4,9
Lenart,0,1,10
Lendava/Lendva,0,9,23
Litija,0,1,25
Ljubljana,8,85,510
Ljubno,0,3,8
Ljutomer,0,1,139
Log - Dragomer,0,0,4
Logatec,0,1,8
Loška dolina,0,0,4
Lovrenc na Pohorju,0,0,5
Lukovica,0,5,10
Majšperk,0,1,4
Maribor,1,18,75
Markovci,0,0,1
Medvode,0,1,14
Mengeš,0,0,12
Metlika,0,1,81
Mežica,0,0,1
Miklavž na Dravskem polju,0,2,9
Miren - Kostanjevica,0,1,1
Mirna,0,2,3
Mirna Peč,1,3,4
Mislinja,0,0,4
Mokronog - Trebelno,0,1,2
Moravče,0,0,6
Moravske Toplice,0,0,1
Mozirje,0,0,9
Murska Sobota,1,6,21
Muta,0,2,3
Naklo,0,0,5
Nazarje,0,0,1
Nova Gorica,0,4,21
Novo mesto,1,17,36
Odranci,0,0,5
Oplotnica,0,0,7
Ormož,0,0,6
Pesnica,0,1,4
Piran/Pirano,0,4,18
Pivka,0,1,20
Podčetrtek,0,0,3
Podlehnik,0,1,1
Podvelka,0,0,3
Poljčane,0,3,3
Polzela,0,1,5
Postojna,0,1,26
Prebold,0,1,6
Preddvor,0,0,3
Prevalje,0,0,8
Ptuj,0,2,7
Puconci,0,0,6
Rače - Fram,0,0,2
Radeče,0,1,3
Radenci,0,0,3
Radlje ob Dravi,0,1,2
Radovljica,0,0,13
Ravne na Koroškem,0,3,25
Razkrižje,0,0,1
Rečica ob Savinji,0,4,4
Renče - Vogrsko,0,0,3
Ribnica,0,0,21
Ribnica na  Pohorju,0,0,2
Rogaška Slatina,2,6,64
Rogatec,0,0,18
Ruše,0,0,9
Selnica ob Dravi,0,0,1
Semič,0,1,9
Sevnica,0,4,12
Sežana,0,0,9
Slovenj Gradec,0,3,31
Slovenska Bistrica,0,5,31
Slovenske Konjice,2,2,4
Sodražica,0,4,4
Starše,0,0,5
Sveta Ana,0,0,8
Sveta Trojica v Slov. goricah,0,1,1
Sveti Jurij ob Ščavnici,0,0,3
Sveti Tomaž,1,1,1
Šalovci,0,0,1
Šempeter - Vrtojba,0,0,3
Šenčur,1,4,16
Šentilj,0,1,12
Šentjernej,0,0,4
Šentjur,2,12,39
Šentrupert,0,1,9
Škocjan,0,2,2
Škofja Loka,0,1,22
Škofljica,1,4,16
Šmarje pri Jelšah,0,2,182
Šmarješke Toplice,0,4,8
Šmartno ob Paki,0,0,1
Šmartno pri Litiji,0,4,6
Šoštanj,0,0,3
Štore,0,2,6
Tabor,0,0,3
Tišina,0,0,4
Tolmin,0,0,5
Trbovlje,0,1,19
Trebnje,0,5,25
Trnovska vas,0,0,1
Trzin,0,0,2
Tržič,3,11,21
TUJINA,2,13,38
Turnišče,0,0,2
Velenje,0,8,48
Velika Polana,0,2,4
Velike Lašče,0,9,18
Veržej,0,0,7
Videm,0,3,3
Vipava,0,2,25
Vitanje,0,1,2
Vodice,0,3,12
Vojnik,0,0,3
Vrhnika,0,2,7
Vuzenica,1,2,3
Zagorje ob Savi,0,3,15
Zavrč,0,1,1
Zreče,0,2,7
Žalec,0,1,16
Železniki,0,0,2
Žetale,0,0,3
Žiri,0,0,3
Žirovnica,0,0,9
Žužemberk,0,0,2
