Skupaj,175,1806,5865
Ajdovščina,1,9,29
Ankaran,0,0,3
Apače,0,3,3
Beltinci,1,4,9
Benedikt,0,1,5
Bistrica ob Sotli,0,0,4
Bled,0,6,13
Bloke,0,1,5
Bohinj,1,6,6
Borovnica,0,1,8
Bovec,0,2,3
Braslovče,0,6,40
Brezovica,2,18,41
Brežice,1,6,20
Cankova,1,2,3
Celje,6,47,141
Cerklje na Gorenjskem,0,7,10
Cerknica,1,5,27
Cerkno,0,1,4
Cerkvenjak,0,2,5
Cirkulane,1,2,5
Črenšovci,1,2,13
Črna na Koroškem,0,40,47
Črnomelj,0,1,24
Destrnik,0,0,4
Divača,0,10,13
Dobje,0,0,1
Dobrepolje,0,1,4
Dobrna,0,0,6
Dobrova - Polhov Gradec,0,2,13
Dobrovnik/Dobronak,0,2,4
Dol pri Ljubljani,0,5,8
Dolenjske Toplice,2,2,8
Domžale,7,45,103
Dornava,0,4,8
Dravograd,0,10,55
Duplek,2,11,15
Gorenja vas - Poljane,0,4,6
Gorišnica,2,3,4
Gorje,0,6,11
Gornja Radgona,0,8,17
Gornji Petrovci,0,0,1
Grad,0,0,2
Grosuplje,4,18,45
Hajdina,1,9,13
Hoče - Slivnica,3,11,21
Horjul,0,1,32
Hrastnik,1,11,100
Hrpelje - Kozina,0,5,10
Idrija,0,2,14
Ig,2,10,33
Ilirska Bistrica,0,23,59
Ivančna Gorica,1,5,20
Izola/Isola,0,2,10
Jesenice,4,17,48
Kamnik,11,38,99
Kanal,0,0,2
Kidričevo,0,3,7
Kobarid,0,0,1
Kobilje,0,0,3
Kočevje,0,9,24
Komen,1,4,4
Komenda,1,5,15
Koper/Capodistria,0,2,53
Kostanjevica na Krki,0,1,4
Kostel,0,1,1
Kozje,0,3,5
Kranj,3,51,156
Kranjska Gora,0,4,8
Križevci,0,0,4
Krško,0,6,30
Kungota,1,2,10
Kuzma,0,0,3
Laško,0,4,14
Lenart,1,10,27
Lendava/Lendva,1,15,44
Litija,2,24,58
Ljubljana,20,351,1101
Ljubno,0,0,8
Ljutomer,0,5,144
Log - Dragomer,0,18,27
Logatec,0,2,14
Loška dolina,0,0,5
Lovrenc na Pohorju,0,3,16
Lukovica,0,11,25
Majšperk,0,5,9
Makole,0,1,2
Maribor,7,95,289
Markovci,0,11,14
Medvode,0,16,40
Mengeš,1,6,20
Metlika,0,0,84
Mežica,2,15,16
Miklavž na Dravskem polju,1,3,13
Miren - Kostanjevica,0,0,3
Mirna,0,1,4
Mirna Peč,0,0,6
Mislinja,0,0,4
Mokronog - Trebelno,0,0,4
Moravče,0,2,8
Moravske Toplice,1,3,6
Mozirje,1,3,13
Murska Sobota,6,12,41
Muta,0,2,7
Naklo,0,6,15
Nazarje,0,1,3
Nova Gorica,0,11,39
Novo mesto,4,14,67
Odranci,0,0,5
Oplotnica,2,6,13
Ormož,1,5,15
Pesnica,1,6,15
Piran/Pirano,0,3,23
Pivka,0,24,63
Podčetrtek,0,4,9
Podlehnik,0,1,2
Podvelka,0,2,5
Poljčane,0,1,7
Polzela,0,3,12
Postojna,1,16,49
Prebold,0,8,16
Preddvor,0,5,12
Prevalje,3,16,26
Ptuj,6,17,33
Puconci,0,0,16
Rače - Fram,0,6,15
Radeče,0,0,3
Radenci,0,2,6
Radlje ob Dravi,0,3,5
Radovljica,2,19,40
Ravne na Koroškem,2,21,50
Razkrižje,0,0,1
Rečica ob Savinji,0,1,7
Renče - Vogrsko,0,1,4
Ribnica,0,2,26
Ribnica na  Pohorju,0,1,3
Rogaška Slatina,2,15,108
Rogašovci,1,2,2
Rogatec,0,4,23
Ruše,0,10,19
Selnica ob Dravi,1,5,8
Semič,0,0,12
Sevnica,3,13,40
Sežana,1,2,13
Slovenj Gradec,1,23,58
Slovenska Bistrica,2,30,81
Slovenske Konjice,2,31,50
Sodražica,0,2,9
Središče ob Dravi,0,1,1
Starše,1,6,17
Straža,0,0,1
Sveta Ana,0,3,14
Sveta Trojica v Slov. goricah,0,2,3
Sveti Jurij ob Ščavnici,0,0,3
Sveti Tomaž,0,0,1
Šalovci,0,0,1
Šempeter - Vrtojba,0,1,4
Šenčur,0,7,26
Šentilj,0,3,18
Šentjernej,4,5,10
Šentjur,1,24,81
Šentrupert,0,0,9
Škocjan,0,1,3
Škofja Loka,3,21,50
Škofljica,0,11,39
Šmarje pri Jelšah,1,11,198
Šmarješke Toplice,0,0,8
Šmartno ob Paki,1,2,5
Šmartno pri Litiji,2,3,10
Šoštanj,0,5,14
Štore,0,0,8
Tabor,0,3,14
Tišina,0,3,14
Tolmin,2,9,15
Trbovlje,0,19,43
Trebnje,1,8,38
Trnovska vas,0,0,2
Trzin,1,6,10
Tržič,1,10,37
TUJINA,2,15,75
Turnišče,0,1,11
Velenje,1,16,74
Velika Polana,0,0,4
Velike Lašče,0,3,33
Veržej,0,0,7
Videm,0,2,7
Vipava,0,2,27
Vitanje,0,7,10
Vodice,0,10,22
Vojnik,0,10,23
Vransko,0,4,6
Vrhnika,1,14,24
Vuzenica,0,6,13
Zagorje ob Savi,5,20,36
Zavrč,0,0,2
Zreče,2,23,34
Žalec,4,13,49
Železniki,0,4,6
Žetale,0,0,3
Žiri,1,2,5
Žirovnica,1,2,13
Žužemberk,0,0,5
