Skupaj,75,2104,6574
Ajdovščina,1,13,34
Ankaran,0,1,4
Apače,0,3,3
Beltinci,1,12,17
Benedikt,0,0,5
Bistrica ob Sotli,0,1,5
Bled,0,6,14
Bloke,0,1,5
Bohinj,0,9,9
Borovnica,0,2,9
Bovec,1,2,4
Braslovče,0,6,42
Brda,0,2,2
Brezovica,0,20,46
Brežice,0,8,22
Cankova,0,2,4
Celje,3,55,156
Cerklje na Gorenjskem,1,9,12
Cerknica,0,3,27
Cerkno,0,1,4
Cerkvenjak,0,1,5
Cirkulane,0,2,5
Črenšovci,2,5,16
Črna na Koroškem,0,50,59
Črnomelj,0,1,24
Destrnik,0,1,5
Divača,0,9,14
Dobje,0,0,1
Dobrepolje,0,2,5
Dobrna,0,0,6
Dobrova - Polhov Gradec,0,2,14
Dobrovnik/Dobronak,0,2,4
Dol pri Ljubljani,0,8,11
Dolenjske Toplice,0,2,8
Domžale,3,51,116
Dornava,0,4,8
Dravograd,0,10,57
Duplek,0,10,16
Gorenja vas - Poljane,1,8,10
Gorišnica,1,9,10
Gorje,0,5,12
Gornja Radgona,0,3,17
Gornji Petrovci,0,0,1
Grad,0,0,2
Grosuplje,0,29,56
Hajdina,4,11,18
Hoče - Slivnica,0,21,32
Horjul,0,1,32
Hrastnik,0,14,106
Hrpelje - Kozina,0,5,10
Idrija,1,5,17
Ig,0,11,37
Ilirska Bistrica,0,9,60
Ivančna Gorica,0,9,24
Izola/Isola,0,4,12
Jesenice,1,35,67
Kamnik,1,35,104
Kanal,0,0,2
Kidričevo,1,3,8
Kobarid,0,0,1
Kobilje,0,0,3
Kočevje,0,7,25
Komen,0,7,7
Komenda,1,9,19
Koper/Capodistria,1,5,56
Kostanjevica na Krki,0,1,4
Kostel,0,1,1
Kozje,0,2,5
Kranj,3,63,176
Kranjska Gora,0,2,9
Križevci,1,1,5
Krško,0,12,37
Kungota,0,5,13
Kuzma,0,0,3
Laško,0,10,20
Lenart,0,8,27
Lendava/Lendva,1,14,47
Litija,0,29,64
Ljubljana,7,363,1213
Ljubno,0,0,8
Ljutomer,0,7,146
Log - Dragomer,2,14,31
Logatec,1,7,20
Loška dolina,0,0,5
Lovrenc na Pohorju,0,4,18
Lukovica,0,11,26
Majšperk,0,4,9
Makole,0,3,4
Maribor,7,101,321
Markovci,0,12,15
Medvode,1,15,44
Mengeš,0,5,20
Metlika,0,1,85
Mežica,0,22,24
Miklavž na Dravskem polju,1,4,16
Miren - Kostanjevica,0,0,3
Mirna,0,1,4
Mirna Peč,0,1,7
Mislinja,0,1,5
Mokronog - Trebelno,0,1,5
Moravče,1,6,12
Moravske Toplice,1,6,9
Mozirje,0,4,15
Murska Sobota,0,25,56
Muta,0,0,7
Naklo,1,8,19
Nazarje,0,3,5
Nova Gorica,0,11,42
Novo mesto,0,19,75
Odranci,0,0,5
Oplotnica,0,10,17
Ormož,0,3,15
Pesnica,0,2,15
Piran/Pirano,0,5,26
Pivka,0,8,63
Podčetrtek,0,3,9
Podlehnik,0,2,3
Podvelka,0,3,6
Poljčane,0,6,12
Polzela,0,2,12
Postojna,0,6,49
Prebold,0,9,20
Preddvor,0,4,13
Prevalje,1,28,39
Ptuj,1,19,37
Puconci,0,1,17
Rače - Fram,1,5,16
Radeče,0,0,3
Radenci,0,1,6
Radlje ob Dravi,0,4,6
Radovljica,0,19,43
Ravne na Koroškem,0,23,55
Razkrižje,0,1,2
Rečica ob Savinji,0,4,10
Renče - Vogrsko,0,0,4
Ribnica,0,2,26
Ribnica na  Pohorju,0,0,3
Rogaška Slatina,1,16,114
Rogašovci,1,4,4
Rogatec,0,4,23
Ruše,0,8,19
Selnica ob Dravi,0,6,11
Semič,0,0,12
Sevnica,3,13,43
Sežana,0,5,16
Slovenj Gradec,1,25,65
Slovenska Bistrica,1,34,92
Slovenske Konjice,1,33,61
Sodražica,0,1,9
Središče ob Dravi,0,1,1
Starše,0,5,19
Straža,0,1,2
Sveta Ana,0,1,14
Sveta Trojica v Slov. goricah,0,3,4
Sveti Andraž v Slov. goricah,0,1,1
Sveti Jurij ob Ščavnici,0,2,5
Sveti Tomaž,0,1,2
Šalovci,0,0,1
Šempeter - Vrtojba,0,0,4
Šenčur,1,9,29
Šentilj,0,1,19
Šentjernej,1,21,26
Šentjur,0,28,91
Šentrupert,0,0,9
Škocjan,0,0,3
Škofja Loka,2,37,66
Škofljica,0,17,49
Šmarje pri Jelšah,0,10,201
Šmarješke Toplice,0,2,10
Šmartno ob Paki,0,1,5
Šmartno pri Litiji,0,12,19
Šoštanj,0,10,19
Štore,0,0,8
Tabor,0,1,14
Tišina,0,3,14
Tolmin,3,16,23
Trbovlje,0,24,52
Trebnje,0,8,39
Trnovska vas,0,0,2
Trzin,0,9,14
Tržič,1,14,43
TUJINA,0,16,80
Turnišče,0,1,11
Velenje,0,20,79
Velika Polana,0,0,4
Velike Lašče,1,1,34
Veržej,0,0,7
Videm,2,5,11
Vipava,0,3,28
Vitanje,1,10,14
Vodice,0,11,24
Vojnik,0,6,24
Vransko,0,5,8
Vrhnika,1,19,31
Vuzenica,0,6,13
Zagorje ob Savi,0,22,39
Zavrč,0,0,2
Zreče,0,27,41
Žalec,0,12,50
Železniki,0,7,9
Žetale,0,0,3
Žiri,0,2,5
Žirovnica,0,4,15
Žužemberk,0,2,7
