date_report,time_report,total,positive,discharged,death,negative,unknown
2020-04-26,0:00,598285,10728,8717,242,578558,8999
2020-04-27,0:00,601660,10738,8764,243,582027,8895
2020-04-28,0:00,608514,10752,8854,244,588559,9203
2020-04-29,0:00,614197,10761,8922,246,595129,8307
2020-04-30,0:00,619881,10765,9059,247,600482,8634
2020-05-01,0:00,623069,10774,9072,248,603610,8685
2020-05-02,0:00,627562,10780,9123,250,608286,8496
2020-05-03,0:00,630973,10793,9183,250,611592,8588
2020-05-04,0:00,633921,10801,9217,252,614944,8176
2020-05-05,0:00,640237,10804,9283,254,620575,8858
2020-05-06,0:00,643095,10806,9333,255,624280,8009
2020-05-07,0:00,649388,10810,9419,256,630149,8429
2020-05-08,0:00,654863,10822,9484,256,635174,8867
2020-05-09,0:00,660030,10840,9568,256,640037,9153
2020-05-10,0:00,663886,10874,9610,256,642884,10128
2020-05-11,0:00,668492,10909,9632,256,646661,10922
2020-05-12,0:00,680890,10936,9670,258,653624,16330
2020-05-13,0:00,695920,10962,9695,259,665379,19579
2020-05-14,0:00,711484,10991,9762,260,679771,20722
2020-05-15,0:00,726747,11018,9821,260,695854,19875
2020-05-16,0:00,740645,11037,9851,262,711265,18343
2020-05-17,0:00,747653,11050,9888,262,718943,17660
