"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",688,460,202,26
"Aomori","青森県",26,12,14,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",87,55,32,0
"Akita","秋田県",16,9,7,0
"Yamagata","山形県",66,28,38,0
"Fukushima","福島県",70,51,19,0
"Ibaraki","茨城県",162,125,31,6
"Tochigi","栃木県",54,41,13,0
"Gunma","群馬県",146,120,15,11
"Saitama","埼玉県",828,771,42,15
"Chiba","千葉県",801,677,101,23
"Tokyo","東京都",4073,3995,59,19
"Kanagawa","神奈川県",975,796,150,29
"Niigata","新潟県",75,43,32,0
"Toyama","富山県",190,178,9,3
"Ishikawa","石川県",245,218,22,5
"Fukui","福井県",122,53,63,6
"Yamanashi","山梨県",52,29,23,0
"Nagano","長野県",66,49,17,0
"Gifu","岐阜県",146,74,65,7
"Shizuoka","静岡県",67,43,24,0
"Aichi","愛知県",482,385,66,31
"Mie","三重県",45,28,16,1
"Shiga","滋賀県",94,71,22,1
"Kyoto","京都府",313,165,140,8
"Osaka","大阪府",1555,1245,274,36
"Hyogo","兵庫県",636,539,80,17
"Nara","奈良県",80,65,14,1
"Wakayama","和歌山県",60,31,27,2
"Tottori","鳥取県",3,2,1,0
"Shimane","島根県",23,21,2,0
"Okayama","岡山県",22,17,5,0
"Hiroshima","広島県",149,128,20,1
"Yamaguchi","山口県",32,9,23,0
"Tokushima","徳島県",5,2,3,0
"Kagawa","香川県",28,22,6,0
"Ehime","愛媛県",47,20,24,3
"Kochi","高知県",73,42,28,3
"Fukuoka","福岡県",619,433,170,16
"Saga","佐賀県",37,31,6,0
"Nagasaki","長崎県",16,6,9,1
"Kumamoto","熊本県",45,32,12,1
"Oita","大分県",60,32,27,1
"Miyazaki","宮崎県",17,7,10,0
"Kagoshima","鹿児島県",10,6,4,0
"Okinawa","沖縄県",141,113,24,4
