"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",495,285,188,22
"Aomori","青森県",22,12,10,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",84,70,14,0
"Akita","秋田県",16,11,5,0
"Yamagata","山形県",65,48,17,0
"Fukushima","福島県",65,50,15,0
"Ibaraki","茨城県",151,127,18,6
"Tochigi","栃木県",52,44,8,0
"Gunma","群馬県",131,108,14,9
"Saitama","埼玉県",714,670,34,10
"Chiba","千葉県",725,634,80,11
"Tokyo","東京都",3452,3374,59,19
"Kanagawa","神奈川県",841,707,111,23
"Niigata","新潟県",61,28,33,0
"Toyama","富山県",115,105,8,2
"Ishikawa","石川県",199,177,17,5
"Fukui","福井県",119,89,26,4
"Yamanashi","山梨県",51,28,23,0
"Nagano","長野県",56,50,6,0
"Gifu","岐阜県",143,114,24,5
"Shizuoka","静岡県",57,44,13,0
"Aichi","愛知県",441,345,67,29
"Mie","三重県",43,31,11,1
"Shiga","滋賀県",88,74,13,1
"Kyoto","京都府",275,180,88,7
"Osaka","大阪府",1382,1110,255,17
"Hyogo","兵庫県",563,481,65,17
"Nara","奈良県",75,60,14,1
"Wakayama","和歌山県",49,26,22,1
"Tottori","鳥取県",3,3,0,0
"Shimane","島根県",16,16,0,0
"Okayama","岡山県",19,15,4,0
"Hiroshima","広島県",139,126,13,0
"Yamaguchi","山口県",31,16,15,0
"Tokushima","徳島県",5,2,3,0
"Kagawa","香川県",26,24,2,0
"Ehime","愛媛県",47,28,16,3
"Kochi","高知県",70,40,28,2
"Fukuoka","福岡県",560,459,88,13
"Saga","佐賀県",18,16,2,0
"Nagasaki","長崎県",16,11,5,0
"Kumamoto","熊本県",41,33,7,1
"Oita","大分県",60,40,19,1
"Miyazaki","宮崎県",17,13,4,0
"Kagoshima","鹿児島県",10,8,2,0
"Okinawa","沖縄県",130,116,11,3
