"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",5285,1719,3442,124,18,0,106601
"Aomori","青森県",278,35,237,6,2,0,6157
"Iwate","岩手県",69,40,29,0,0,0,6312
"Miyagi","宮城県",983,186,789,8,3,0,16285
"Akita","秋田県",73,7,65,0,1,1,2695
"Yamagata","山形県",97,12,84,1,0,0,6999
"Fukushima","福島県",435,39,390,6,3,0,35161
"Ibaraki","茨城県",967,163,786,18,3,0,14703
"Tochigi","栃木県",516,26,490,1,4,1,48508
"Gunma","群馬県",956,41,890,20,3,5,32842
"Saitama","埼玉県",6821,766,5936,119,12,0,206881
"Chiba","千葉県",5781,573,5124,84,7,0,143246
"Tokyo","東京都",34751,2804,31477,470,38,0,664117
"Kanagawa","神奈川県",10155,878,9095,182,28,0,220848
"Niigata","新潟県",226,42,184,0,0,0,19699
"Toyama","富山県",425,1,398,26,0,0,15777
"Ishikawa","石川県",830,13,768,49,0,0,19731
"Fukui","福井県",272,15,246,11,0,0,12253
"Yamanashi","山梨県",275,49,220,6,1,0,12472
"Nagano","長野県",461,115,345,6,0,5,25663
"Gifu","岐阜県",809,93,704,12,0,0,29309
"Shizuoka","静岡県",822,133,687,2,2,0,48055
"Aichi","愛知県",7599,1056,6443,100,15,0,114475
"Mie","三重県",620,49,564,7,4,0,17127
"Shiga","滋賀県",663,82,572,9,0,0,14966
"Kyoto","京都府",2222,126,2065,31,1,0,55975
"Osaka","大阪府",15421,1961,13180,261,66,19,270847
"Hyogo","兵庫県",3895,389,3434,72,19,0,77289
"Nara","奈良県",844,151,682,11,3,0,27245
"Wakayama","和歌山県",326,43,274,4,3,5,11245
"Tottori","鳥取県",52,11,41,0,0,0,6090
"Shimane","島根県",141,0,141,0,0,0,6354
"Okayama","岡山県",396,79,259,10,1,48,14762
"Hiroshima","広島県",694,29,658,5,1,2,29759
"Yamaguchi","山口県",266,49,214,2,1,1,12510
"Tokushima","徳島県",171,7,158,9,0,3,7659
"Kagawa","香川県",114,11,101,2,0,0,14905
"Ehime","愛媛県",129,13,110,6,0,0,4625
"Kochi","高知県",144,0,140,4,0,0,3690
"Fukuoka","福岡県",5379,106,5169,104,4,0,179855
"Saga","佐賀県",278,12,267,1,0,2,8048
"Nagasaki","長崎県",249,3,242,3,0,1,24603
"Kumamoto","熊本県",903,54,815,9,4,25,21470
"Oita","大分県",164,3,158,3,0,0,23081
"Miyazaki","宮崎県",373,3,370,1,1,1,8829
"Kagoshima","鹿児島県",554,60,493,13,0,12,24653
"Okinawa","沖縄県",3741,311,3369,66,3,5,65248
