"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",161,72,83,6
"Aomori","青森県",0,0,0,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",1,0,1,0
"Akita","秋田県",1,0,1,0
"Yamagata","山形県",0,0,0,0
"Fukushima","福島県",2,2,0,0
"Ibaraki","茨城県",3,3,0,0
"Tochigi","栃木県",4,2,2,0
"Gunma","群馬県",11,10,0,1
"Saitama","埼玉県",45,34,10,1
"Chiba","千葉県",42,27,15,0
"Tokyo","東京都",132,103,25,4
"Kanagawa","神奈川県",67,49,14,4
"Niigata","新潟県",22,19,3,0
"Toyama","富山県",0,0,0,0
"Ishikawa","石川県",6,3,3,0
"Fukui","福井県",1,1,0,0
"Yamanashi","山梨県",2,1,1,0
"Nagano","長野県",3,2,1,0
"Gifu","岐阜県",5,4,1,0
"Shizuoka","静岡県",3,2,1,0
"Aichi","愛知県",134,111,8,16
"Mie","三重県",6,4,2,0
"Shiga","滋賀県",4,4,0,0
"Kyoto","京都府",20,13,7,0
"Osaka","大阪府",113,85,26,2
"Hyogo","兵庫県",83,76,2,6
"Nara","奈良県",5,3,2,0
"Wakayama","和歌山県",15,5,9,1
"Tottori","鳥取県",0,0,0,0
"Shimane","島根県",0,0,0,0
"Okayama","岡山県",1,1,0,0
"Hiroshima","広島県",3,2,1,0
"Yamaguchi","山口県",2,2,0,0
"Tokushima","徳島県",0,0,0,0
"Kagawa","香川県",1,1,0,0
"Ehime","愛媛県",2,1,1,0
"Kochi","高知県",11,0,11,0
"Fukuoka","福岡県",5,3,2,0
"Saga","佐賀県",1,1,0,0
"Nagasaki","長崎県",0,0,0,0
"Kumamoto","熊本県",6,5,1,0
"Oita","大分県",15,14,1,0
"Miyazaki","宮崎県",3,3,0,0
"Kagoshima","鹿児島県",0,0,0,0
"Okinawa","沖縄県",3,1,2,0
