"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1054,239,734,81,15,0,12285
"Aomori","青森県",27,2,24,1,0,0,824
"Iwate","岩手県",0,0,0,0,0,0,604
"Miyagi","宮城県",88,1,86,1,0,0,2843
"Akita","秋田県",16,0,16,0,0,0,927
"Yamagata","山形県",69,4,65,0,1,0,2622
"Fukushima","福島県",81,10,71,0,0,0,3883
"Ibaraki","茨城県",168,14,145,9,0,0,4534
"Tochigi","栃木県",65,18,47,0,4,1,3465
"Gunma","群馬県",149,18,112,19,1,0,3462
"Saitama","埼玉県",999,87,865,47,5,0,18686
"Chiba","千葉県",904,86,774,44,6,0,13978
"Tokyo","東京都",5160,561,4311,288,39,0,14850
"Kanagawa","神奈川県",1333,269,991,73,27,0,8984
"Niigata","新潟県",83,9,74,0,0,1,4030
"Toyama","富山県",227,26,180,21,0,0,3101
"Ishikawa","石川県",295,60,211,24,3,0,2624
"Fukui","福井県",122,5,109,8,2,0,2476
"Yamanashi","山梨県",60,2,57,1,0,0,3720
"Nagano","長野県",76,12,64,"-",1,0,2605
"Gifu","岐阜県",150,4,139,7,1,0,3387
"Shizuoka","静岡県",75,4,70,1,1,0,3423
"Aichi","愛知県",507,31,442,34,0,5,9726
"Mie","三重県",45,4,40,1,0,0,2460
"Shiga","滋賀県",100,10,89,1,1,0,1721
"Kyoto","京都府",358,31,312,15,3,0,7640
"Osaka","大阪府",1781,223,1480,78,25,11,29006
"Hyogo","兵庫県",699,46,613,40,10,0,10720
"Nara","奈良県",91,7,82,2,0,0,2754
"Wakayama","和歌山県",63,6,54,3,3,0,3630
"Tottori","鳥取県",3,0,3,0,0,0,1303
"Shimane","島根県",24,4,20,0,1,0,1084
"Okayama","岡山県",25,0,25,"-","-",0,1646
"Hiroshima","広島県",167,19,145,3,0,0,6779
"Yamaguchi","山口県",37,2,35,0,1,0,1657
"Tokushima","徳島県",5,0,4,1,0,0,708
"Kagawa","香川県",28,0,28,0,0,0,2099
"Ehime","愛媛県",81,32,45,4,0,0,1915
"Kochi","高知県",74,2,69,3,0,0,1749
"Fukuoka","福岡県",666,45,596,25,5,0,11849
"Saga","佐賀県",47,13,34,0,0,2,1377
"Nagasaki","長崎県",17,0,16,1,0,0,2675
"Kumamoto","熊本県",48,8,37,3,0,0,3851
"Oita","大分県",60,2,57,1,0,0,3847
"Miyazaki","宮崎県",17,1,16,0,0,0,1351
"Kagoshima","鹿児島県",10,1,9,0,0,0,1713
"Okinawa","沖縄県",142,2,134,6,"-",0,2826
