"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",58605,2826,54614,1460,27,295,1033774,"JP-01"
"Aomori","青森県",4934,706,4195,33,3,0,76234,"JP-02"
"Iwate","岩手県",3293,311,2932,50,2,0,112247,"JP-03"
"Miyagi","宮城県",15478,1105,14222,104,26,47,216762,"JP-04"
"Akita","秋田県",1722,122,1574,26,1,0,23689,"JP-05"
"Yamagata","山形県",3337,212,3075,50,5,0,88746,"JP-06"
"Fukushima","福島県",9089,451,8468,170,11,0,378575,"JP-07"
"Ibaraki","茨城県",22335,1586,20548,201,26,0,38447,"JP-08"
"Tochigi","栃木県",14159,1088,12966,105,14,0,404833,"JP-09"
"Gunma","群馬県",15854,1145,14545,164,24,0,268160,"JP-10"
"Saitama","埼玉県",108059,11654,95485,920,136,0,1346439,"JP-11"
"Chiba","千葉県",93884,11301,81677,906,98,0,976743,"JP-12"
"Tokyo","東京都",361026,21887,336545,2594,252,0,3395406,"JP-13"
"Kanagawa","神奈川県",158976,10655,147170,1151,228,0,1480368,"JP-14"
"Niigata","新潟県",7185,525,6604,56,10,0,255944,"JP-15"
"Toyama","富山県",4630,441,4145,44,8,0,105061,"JP-16"
"Ishikawa","石川県",7494,340,7011,123,4,20,174608,"JP-17"
"Fukui","福井県",2755,199,2520,36,2,0,104410,"JP-18"
"Yamanashi","山梨県",4766,408,4335,26,3,3,97156,"JP-19"
"Nagano","長野県",8250,399,7746,94,2,11,283925,"JP-20"
"Gifu","岐阜県",17402,1884,15338,206,20,26,368329,"JP-21"
"Shizuoka","静岡県",24837,3488,21161,188,22,0,563324,"JP-22"
"Aichi","愛知県",94391,22083,71252,1056,97,0,1142612,"JP-23"
"Mie","三重県",13756,2755,11142,144,31,285,192585,"JP-24"
"Shiga","滋賀県",11544,1359,10088,97,12,0,216607,"JP-25"
"Kyoto","京都府",33251,4065,28549,256,87,381,386169,"JP-26"
"Osaka","大阪府",185290,23085,157353,2847,613,2005,3081697,"JP-27"
"Hyogo","兵庫県",70712,6299,63064,1356,85,7,675595,"JP-28"
"Nara","奈良県",14666,1361,13163,142,20,0,229923,"JP-29"
"Wakayama","和歌山県",4961,375,4429,56,24,101,60643,"JP-30"
"Tottori","鳥取県",1542,195,1320,5,2,22,133277,"JP-31"
"Shimane","島根県",1479,178,1299,2,2,0,45572,"JP-32"
"Okayama","岡山県",14466,1686,11771,132,21,877,231974,"JP-33"
"Hiroshima","広島県",20090,1132,17685,187,19,1086,791824,"JP-34"
"Yamaguchi","山口県",5326,514,4725,87,5,0,155099,"JP-35"
"Tokushima","徳島県",2970,314,2592,64,6,0,92627,"JP-36"
"Kagawa","香川県",4522,349,4138,34,7,1,118666,"JP-37"
"Ehime","愛媛県",4851,281,4489,81,5,0,135581,"JP-38"
"Kochi","高知県",3859,449,3379,31,10,0,85457,"JP-39"
"Fukuoka","福岡県",70249,8739,60362,577,36,571,1147279,"JP-40"
"Saga","佐賀県",5512,439,5096,28,2,51,91931,"JP-41"
"Nagasaki","長崎県",5662,555,5041,70,2,4,164584,"JP-42"
"Kumamoto","熊本県",13527,1493,11903,131,19,0,114048,"JP-43"
"Oita","大分県",7602,700,6831,71,4,0,237691,"JP-44"
"Miyazaki","宮崎県",5853,630,5175,33,10,15,66694,"JP-45"
"Kagoshima","鹿児島県",8651,686,7912,55,5,2,156372,"JP-46"
"Okinawa","沖縄県",46170,5276,40298,269,125,327,355568,"JP-47"
