"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",59394,1533,56527,1464,21,130,1058585,"JP-01"
"Aomori","青森県",5269,448,4788,33,9,0,80301,"JP-02"
"Iwate","岩手県",3426,174,3202,50,0,0,115181,"JP-03"
"Miyagi","宮城県",15859,596,15109,108,16,46,228120,"JP-04"
"Akita","秋田県",1796,86,1684,26,2,0,24731,"JP-05"
"Yamagata","山形県",3443,167,3222,54,3,0,91061,"JP-06"
"Fukushima","福島県",9312,306,8833,173,6,0,388234,"JP-07"
"Ibaraki","茨城県",23266,1041,22020,205,23,0,38857,"JP-08"
"Tochigi","栃木県",14703,722,13874,107,13,0,429295,"JP-09"
"Gunma","群馬県",16213,560,15487,166,20,0,276181,"JP-10"
"Saitama","埼玉県",111865,6469,104435,961,110,0,1381956,"JP-11"
"Chiba","千葉県",96997,6432,89613,952,69,0,1005576,"JP-12"
"Tokyo","東京都",368950,12204,354034,2712,198,0,3474206,"JP-13"
"Kanagawa","神奈川県",163641,5797,156648,1196,150,0,1513625,"JP-14"
"Niigata","新潟県",7471,415,6998,58,8,0,265400,"JP-15"
"Toyama","富山県",4712,186,4478,48,5,0,107565,"JP-16"
"Ishikawa","石川県",7675,258,7272,123,3,22,180526,"JP-17"
"Fukui","福井県",2885,141,2708,36,0,0,109040,"JP-18"
"Yamanashi","山梨県",4933,245,4660,29,1,1,101838,"JP-19"
"Nagano","長野県",8478,268,8160,95,2,45,294408,"JP-20"
"Gifu","岐阜県",18067,1023,16959,207,15,122,381088,"JP-21"
"Shizuoka","静岡県",25827,1639,23992,196,16,0,580486,"JP-22"
"Aichi","愛知県",100806,14002,85722,1082,80,0,1197531,"JP-23"
"Mie","三重県",14288,1600,12846,150,22,308,202459,"JP-24"
"Shiga","滋賀県",11878,666,11114,98,6,0,226805,"JP-25"
"Kyoto","京都府",34499,3638,30426,259,74,176,397807,"JP-26"
"Osaka","大阪府",193048,14684,173510,2888,580,1966,3192976,"JP-27"
"Hyogo","兵庫県",74307,4553,68383,1373,66,2,697328,"JP-28"
"Nara","奈良県",15176,805,14227,144,17,0,235351,"JP-29"
"Wakayama","和歌山県",5088,167,4760,59,12,102,62100,"JP-30"
"Tottori","鳥取県",1611,113,1471,5,0,22,137538,"JP-31"
"Shimane","島根県",1525,89,1434,2,1,0,48532,"JP-32"
"Okayama","岡山県",14842,1161,13160,135,17,386,241401,"JP-33"
"Hiroshima","広島県",20794,730,19338,189,13,537,821060,"JP-34"
"Yamaguchi","山口県",5445,234,5123,88,1,0,173420,"JP-35"
"Tokushima","徳島県",3148,237,2847,64,3,0,96320,"JP-36"
"Kagawa","香川県",4594,139,4420,34,4,1,122228,"JP-37"
"Ehime","愛媛県",4983,195,4707,81,6,0,139621,"JP-38"
"Kochi","高知県",4012,198,3783,31,3,0,89912,"JP-39"
"Fukuoka","福岡県",72399,6011,65550,591,29,247,1180048,"JP-40"
"Saga","佐賀県",5634,184,5457,29,1,36,95153,"JP-41"
"Nagasaki","長崎県",5834,289,5475,71,2,1,169046,"JP-42"
"Kumamoto","熊本県",13899,675,13093,131,14,0,116817,"JP-43"
"Oita","大分県",7834,336,7423,75,4,0,244967,"JP-44"
"Miyazaki","宮崎県",6012,305,5652,39,8,16,70456,"JP-45"
"Kagoshima","鹿児島県",8929,439,8460,59,7,29,161547,"JP-46"
"Okinawa","沖縄県",48003,4426,42796,276,83,505,370206,"JP-47"
