"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1275,94,1080,101,6,0,21674
"Aomori","青森県",27,0,26,1,0,0,1002
"Iwate","岩手県",0,0,0,0,0,0,1005
"Miyagi","宮城県",97,6,90,1,0,0,3951
"Akita","秋田県",16,0,16,0,0,0,999
"Yamagata","山形県",69,1,68,0,1,0,2566
"Fukushima","福島県",82,1,81,0,0,0,7204
"Ibaraki","茨城県",183,13,160,10,0,0,5417
"Tochigi","栃木県",86,18,86,0,0,18,7829
"Gunma","群馬県",154,3,133,19,0,1,5261
"Saitama","埼玉県",1218,175,978,65,3,0,37535
"Chiba","千葉県",1003,67,891,45,1,0,18877
"Tokyo","東京都",6654,712,5617,325,9,0,91377
"Kanagawa","神奈川県",1565,107,1362,96,7,0,12898
"Niigata","新潟県",84,0,83,0,0,1,5054
"Toyama","富山県",228,1,205,22,0,0,4009
"Ishikawa","石川県",300,13,260,27,1,0,2925
"Fukui","福井県",122,0,114,8,0,0,3510
"Yamanashi","山梨県",75,2,72,1,0,0,5815
"Nagano","長野県",77,1,76,"-",0,0,3351
"Gifu","岐阜県",160,6,147,7,1,0,5420
"Shizuoka","静岡県",86,6,79,1,0,0,7829
"Aichi","愛知県",525,7,478,34,0,6,13199
"Mie","三重県",46,0,45,1,0,0,2945
"Shiga","滋賀県",103,3,99,1,0,0,2524
"Kyoto","京都府",386,21,347,18,0,0,10600
"Osaka","大阪府",1851,51,1714,86,2,0,41726
"Hyogo","兵庫県",709,8,656,45,0,0,15362
"Nara","奈良県",93,1,90,2,0,0,3943
"Wakayama","和歌山県",64,0,61,3,0,0,4054
"Tottori","鳥取県",4,1,3,0,0,0,1645
"Shimane","島根県",24,0,24,0,0,0,1256
"Okayama","岡山県",28,2,26,"-","-",0,1976
"Hiroshima","広島県",169,1,165,3,0,0,7907
"Yamaguchi","山口県",37,0,37,0,0,0,2435
"Tokushima","徳島県",6,1,4,1,0,0,953
"Kagawa","香川県",28,0,28,0,0,0,2792
"Ehime","愛媛県",82,0,77,5,0,0,2629
"Kochi","高知県",74,0,71,3,0,0,1991
"Fukuoka","福岡県",862,23,806,33,2,0,16875
"Saga","佐賀県",47,0,47,0,0,0,1665
"Nagasaki","長崎県",17,0,16,1,0,0,3343
"Kumamoto","熊本県",49,0,46,3,0,0,4325
"Oita","大分県",60,0,59,1,0,0,5039
"Miyazaki","宮崎県",17,0,17,0,0,0,1589
"Kagoshima","鹿児島県",51,40,11,0,0,0,2784
"Okinawa","沖縄県",142,0,139,7,0,0,3037
