"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",13685,1691,11521,472,20,1,242370
"Aomori","青森県",506,103,395,8,2,0,10014
"Iwate","岩手県",394,63,307,24,4,0,14494
"Miyagi","宮城県",2232,401,1815,16,3,0,24910
"Akita","秋田県",146,35,110,1,0,0,4565
"Yamagata","山形県",397,71,317,9,6,0,10193
"Fukushima","福島県",983,218,744,21,5,0,58511
"Ibaraki","茨城県",2560,321,2201,38,6,0,18572
"Tochigi","栃木県",1662,590,1072,6,10,6,73728
"Gunma","群馬県",2412,351,2015,46,10,0,52671
"Saitama","埼玉県",14937,3142,11580,215,61,0,322873
"Chiba","千葉県",11683,2543,9016,124,17,0,227912
"Tokyo","東京都",62590,10301,51657,632,101,0,996675
"Kanagawa","神奈川県",22480,3496,18701,283,74,0,342311
"Niigata","新潟県",565,120,445,3,1,3,28372
"Toyama","富山県",572,55,491,26,2,0,21742
"Ishikawa","石川県",1105,140,927,51,7,13,30157
"Fukui","福井県",359,19,327,12,0,1,19660
"Yamanashi","山梨県",568,75,482,11,3,0,14525
"Nagano","長野県",1242,182,1057,16,3,13,48235
"Gifu","岐阜県",2442,553,1851,38,11,0,66112
"Shizuoka","静岡県",2788,526,2221,41,7,0,94030
"Aichi","愛知県",16905,2555,14129,221,40,0,199918
"Mie","三重県",1324,167,1138,19,6,0,30675
"Shiga","滋賀県",1260,261,986,13,5,0,38138
"Kyoto","京都府",4803,962,3829,53,14,41,95241
"Osaka","大阪府",30772,3834,26337,601,169,0,472962
"Hyogo","兵庫県",10236,1171,8844,221,51,0,142967
"Nara","奈良県",2108,387,1696,25,11,0,47698
"Wakayama","和歌山県",652,64,570,7,4,11,16669
"Tottori","鳥取県",123,49,72,0,1,2,24313
"Shimane","島根県",214,27,187,0,2,0,9344
"Okayama","岡山県",1440,384,762,13,8,281,31723
"Hiroshima","広島県",3466,699,2364,41,18,362,75233
"Yamaguchi","山口県",597,114,476,3,3,4,26760
"Tokushima","徳島県",199,6,184,9,0,0,15373
"Kagawa","香川県",311,83,225,3,1,0,24487
"Ehime","愛媛県",484,92,379,13,3,0,13766
"Kochi","高知県",687,96,582,9,6,0,5995
"Fukuoka","福岡県",8774,1573,7272,119,16,190,268262
"Saga","佐賀県",477,52,428,3,1,6,15063
"Nagasaki","長崎県",703,234,311,5,2,153,40149
"Kumamoto","熊本県",1947,205,1539,21,8,182,37210
"Oita","大分県",720,126,588,6,4,0,43455
"Miyazaki","宮崎県",759,91,668,5,0,5,12454
"Kagoshima","鹿児島県",1033,128,905,14,2,14,40094
"Okinawa","沖縄県",5451,373,5002,81,3,5,90347
