"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1860,75,1679,106,2,0,48825
"Aomori","青森県",35,2,32,1,0,0,2206
"Iwate","岩手県",23,4,19,0,0,0,3610
"Miyagi","宮城県",275,62,211,2,0,0,8697
"Akita","秋田県",50,1,49,0,0,0,1855
"Yamagata","山形県",78,2,76,1,1,1,3144
"Fukushima","福島県",200,51,149,0,2,0,16678
"Ibaraki","茨城県",606,58,534,14,3,0,11550
"Tochigi","栃木県",328,19,302,1,2,6,25401
"Gunma","群馬県",517,73,425,19,0,0,16854
"Saitama","埼玉県",4227,295,3835,97,9,0,123181
"Chiba","千葉県",3339,284,2989,66,8,0,65505
"Tokyo","東京都",22631,2232,20019,380,24,0,377119
"Kanagawa","神奈川県",5823,676,5021,126,32,0,128296
"Niigata","新潟県",147,6,141,0,1,0,13774
"Toyama","富山県",408,21,364,25,0,2,10832
"Ishikawa","石川県",724,87,595,42,0,0,10349
"Fukui","福井県",244,50,184,8,4,2,9155
"Yamanashi","山梨県",179,10,164,5,1,0,9977
"Nagano","長野県",296,26,272,1,1,3,17030
"Gifu","岐阜県",574,19,545,10,2,0,19579
"Shizuoka","静岡県",504,23,480,1,2,0,29710
"Aichi","愛知県",4787,403,4310,74,17,0,61474
"Mie","三重県",450,79,367,4,2,0,11057
"Shiga","滋賀県",468,36,425,7,1,0,10406
"Kyoto","京都府",1607,108,1474,25,2,0,35638
"Osaka","大阪府",9444,807,8454,175,35,8,155589
"Hyogo","兵庫県",2421,127,2240,54,7,0,48797
"Nara","奈良県",544,29,507,8,2,0,18233
"Wakayama","和歌山県",236,4,225,4,0,3,8875
"Tottori","鳥取県",22,0,22,0,0,0,4615
"Shimane","島根県",137,0,137,0,0,0,5172
"Okayama","岡山県",146,1,145,"-","-",0,7511
"Hiroshima","広島県",464,11,450,3,0,0,18642
"Yamaguchi","山口県",194,42,151,1,1,0,7913
"Tokushima","徳島県",146,46,89,8,3,3,6549
"Kagawa","香川県",87,12,73,2,0,0,9222
"Ehime","愛媛県",114,1,107,6,0,0,3921
"Kochi","高知県",137,10,124,3,1,0,3286
"Fukuoka","福岡県",4893,578,4238,77,16,0,43896
"Saga","佐賀県",244,6,238,0,0,0,5470
"Nagasaki","長崎県",234,9,219,3,0,3,16260
"Kumamoto","熊本県",564,35,509,8,0,12,12740
"Oita","大分県",158,15,141,2,0,0,14312
"Miyazaki","宮崎県",339,10,329,1,0,1,8279
"Kagoshima","鹿児島県",372,17,343,11,1,1,17075
"Okinawa","沖縄県",2269,222,2010,41,8,4,31139
