"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",18814,700,17423,656,10,35,368319,"JP-01"
"Aomori","青森県",812,60,733,19,1,0,17021,"JP-02"
"Iwate","岩手県",553,31,492,30,1,0,23832,"JP-03"
"Miyagi","宮城県",3561,100,3437,24,4,0,65804,"JP-04"
"Akita","秋田県",269,8,255,6,0,0,6949,"JP-05"
"Yamagata","山形県",537,15,507,15,0,0,17066,"JP-06"
"Fukushima","福島県",1872,90,1716,66,5,0,105311,"JP-07"
"Ibaraki","茨城県",5582,359,5120,103,12,0,24712,"JP-08"
"Tochigi","栃木県",4037,183,3789,65,8,0,121978,"JP-09"
"Gunma","群馬県",4375,185,4107,83,6,0,88125,"JP-10"
"Saitama","埼玉県",28655,1744,26390,521,39,0,529187,"JP-11"
"Chiba","千葉県",25577,2074,23108,395,21,0,385826,"JP-12"
"Tokyo","東京都",109734,4152,104317,1265,82,0,1479717,"JP-13"
"Kanagawa","神奈川県",44085,1168,42269,648,38,0,565643,"JP-14"
"Niigata","新潟県",1032,83,935,14,1,0,42311,"JP-15"
"Toyama","富山県",898,21,850,27,3,0,34876,"JP-16"
"Ishikawa","石川県",1791,217,1561,61,4,48,48335,"JP-17"
"Fukui","福井県",542,15,502,25,0,0,30824,"JP-18"
"Yamanashi","山梨県",934,20,899,16,2,1,24827,"JP-19"
"Nagano","長野県",2358,22,2327,41,0,32,94428,"JP-20"
"Gifu","岐阜県",4666,183,4380,103,9,0,127824,"JP-21"
"Shizuoka","静岡県",5003,242,4669,92,1,0,176824,"JP-22"
"Aichi","愛知県",25537,927,24108,502,29,0,371954,"JP-23"
"Mie","三重県",2476,179,2249,48,10,0,60178,"JP-24"
"Shiga","滋賀県",2384,134,2207,43,6,0,67496,"JP-25"
"Kyoto","京都府",8975,437,8408,149,2,19,149842,"JP-26"
"Osaka","大阪府",46581,1366,43706,1089,107,420,756909,"JP-27"
"Hyogo","兵庫県",17779,616,16658,505,49,0,238458,"JP-28"
"Nara","奈良県",3335,131,3159,45,4,0,78866,"JP-29"
"Wakayama","和歌山県",1159,24,1094,17,2,24,24211,"JP-30"
"Tottori","鳥取県",208,3,200,2,0,3,38963,"JP-31"
"Shimane","島根県",281,4,277,0,0,0,14340,"JP-32"
"Okayama","岡山県",2466,89,2340,29,3,8,63400,"JP-33"
"Hiroshima","広島県",4996,84,4803,101,7,8,149875,"JP-34"
"Yamaguchi","山口県",1369,90,1244,35,1,0,55951,"JP-35"
"Tokushima","徳島県",447,40,391,16,1,0,25402,"JP-36"
"Kagawa","香川県",742,40,684,18,1,0,43531,"JP-37"
"Ehime","愛媛県",1050,40,987,23,1,0,31206,"JP-38"
"Kochi","高知県",884,8,859,17,1,0,7091,"JP-39"
"Fukuoka","福岡県",17787,1004,16519,264,25,0,427846,"JP-40"
"Saga","佐賀県",1012,26,1000,7,0,21,26704,"JP-41"
"Nagasaki","長崎県",1590,45,1508,36,1,1,65467,"JP-42"
"Kumamoto","熊本県",3432,69,3299,72,7,8,56482,"JP-43"
"Oita","大分県",1285,59,1206,20,0,0,76372,"JP-44"
"Miyazaki","宮崎県",1943,42,1865,21,0,15,24614,"JP-45"
"Kagoshima","鹿児島県",1745,76,1668,24,5,23,65178,"JP-46"
"Okinawa","沖縄県",8083,282,7692,114,1,5,141275,"JP-47"
