"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",16199,1623,14001,551,13,24,287756,"JP-01"
"Aomori","青森県",660,81,570,9,1,0,12233,"JP-02"
"Iwate","岩手県",483,67,391,25,1,0,18332,"JP-03"
"Miyagi","宮城県",3066,495,2549,22,9,0,44586,"JP-04"
"Akita","秋田県",227,57,169,1,0,0,5939,"JP-05"
"Yamagata","山形県",453,39,401,13,1,0,12321,"JP-06"
"Fukushima","福島県",1518,323,1161,34,7,0,73830,"JP-07"
"Ibaraki","茨城県",4026,837,3144,45,12,0,21534,"JP-08"
"Tochigi","栃木県",3384,1155,2229,28,15,28,92974,"JP-09"
"Gunma","群馬県",3427,525,2841,61,13,0,66688,"JP-10"
"Saitama","埼玉県",21945,5454,16201,290,87,0,401016,"JP-11"
"Chiba","千葉県",18565,5668,12708,189,50,0,274850,"JP-12"
"Tokyo","東京都",89188,19533,68901,754,160,0,1206896,"JP-13"
"Kanagawa","神奈川県",35595,5657,29569,369,108,0,441582,"JP-14"
"Niigata","新潟県",788,136,652,7,1,7,33866,"JP-15"
"Toyama","富山県",815,112,676,27,3,0,28308,"JP-16"
"Ishikawa","石川県",1373,206,1145,55,7,33,37006,"JP-17"
"Fukui","福井県",462,70,378,13,4,1,24345,"JP-18"
"Yamanashi","山梨県",864,132,720,12,5,0,14741,"JP-19"
"Nagano","長野県",2077,401,1662,23,3,9,67978,"JP-20"
"Gifu","岐阜県",3618,625,2934,59,15,0,87953,"JP-21"
"Shizuoka","静岡県",4029,854,3110,65,8,0,125160,"JP-22"
"Aichi","愛知県",21666,3389,17940,337,54,0,273561,"JP-23"
"Mie","三重県",1848,328,1496,24,6,0,35367,"JP-24"
"Shiga","滋賀県",1840,382,1438,20,16,0,49527,"JP-25"
"Kyoto","京都府",7130,1670,5433,89,20,62,116099,"JP-26"
"Osaka","大阪府",39557,6176,32604,777,185,0,581574,"JP-27"
"Hyogo","兵庫県",14170,1946,11912,312,69,0,176805,"JP-28"
"Nara","奈良県",2716,395,2289,32,14,0,61204,"JP-29"
"Wakayama","和歌山県",928,135,769,11,10,13,19668,"JP-30"
"Tottori","鳥取県",184,46,132,2,2,4,30737,"JP-31"
"Shimane","島根県",239,15,224,0,0,0,10827,"JP-32"
"Okayama","岡山県",2154,479,1434,16,17,225,43188,"JP-33"
"Hiroshima","広島県",4448,430,3863,73,14,82,107047,"JP-34"
"Yamaguchi","山口県",986,315,740,5,3,74,35818,"JP-35"
"Tokushima","徳島県",311,81,220,10,0,0,18561,"JP-36"
"Kagawa","香川県",556,182,368,6,1,0,33443,"JP-37"
"Ehime","愛媛県",866,210,640,16,4,0,19544,"JP-38"
"Kochi","高知県",807,63,731,13,4,0,6576,"JP-39"
"Fukuoka","福岡県",13823,3840,9832,151,27,0,328350,"JP-40"
"Saga","佐賀県",832,238,605,4,2,15,20064,"JP-41"
"Nagasaki","長崎県",1302,261,920,18,5,103,50819,"JP-42"
"Kumamoto","熊本県",3076,273,2243,45,16,515,48014,"JP-43"
"Oita","大分県",955,140,803,12,3,0,56032,"JP-44"
"Miyazaki","宮崎県",1650,368,1275,14,8,7,20385,"JP-45"
"Kagoshima","鹿児島県",1460,224,1236,15,2,15,50329,"JP-46"
"Okinawa","沖縄県",6691,800,5808,88,9,5,110000,"JP-47"
