"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1317,76,1139,102,5,0,24041
"Aomori","青森県",30,4,25,1,0,0,1178
"Iwate","岩手県",0,0,0,0,0,0,1216
"Miyagi","宮城県",112,11,100,1,0,0,4798
"Akita","秋田県",16,0,16,0,0,0,1032
"Yamagata","山形県",74,4,70,1,0,1,2719
"Fukushima","福島県",84,2,82,0,0,0,8232
"Ibaraki","茨城県",211,20,181,10,1,0,6007
"Tochigi","栃木県",107,27,87,0,0,7,10106
"Gunma","群馬県",164,9,136,19,0,0,6443
"Saitama","埼玉県",1617,389,1161,67,4,0,48560
"Chiba","千葉県",1223,210,967,46,0,0,21977
"Tokyo","東京都",8640,1543,6771,326,7,0,130595
"Kanagawa","神奈川県",1876,223,1555,98,9,0,20112
"Niigata","新潟県",89,5,83,0,0,1,5484
"Toyama","富山県",230,2,206,22,0,0,4524
"Ishikawa","石川県",300,4,269,27,1,0,2976
"Fukui","福井県",125,3,114,8,0,0,3811
"Yamanashi","山梨県",76,1,74,1,0,0,6387
"Nagano","長野県",81,5,76,"-",0,0,4972
"Gifu","岐阜県",168,10,151,7,1,0,6088
"Shizuoka","静岡県",99,15,83,1,0,0,9373
"Aichi","愛知県",538,29,485,34,0,10,14633
"Mie","三重県",52,4,46,1,0,1,3198
"Shiga","滋賀県",108,6,101,1,1,0,3131
"Kyoto","京都府",477,68,391,18,0,0,13115
"Osaka","大阪府",2126,210,1830,86,6,0,49535
"Hyogo","兵庫県",760,41,674,45,0,0,17829
"Nara","奈良県",138,38,98,2,0,0,5045
"Wakayama","和歌山県",84,15,66,3,0,0,4826
"Tottori","鳥取県",5,2,3,0,0,0,2172
"Shimane","島根県",25,1,24,0,0,0,1405
"Okayama","岡山県",32,3,28,"-","-",1,2094
"Hiroshima","広島県",192,22,167,3,0,0,8633
"Yamaguchi","山口県",38,1,37,0,0,0,2828
"Tokushima","徳島県",10,5,4,1,0,0,1293
"Kagawa","香川県",42,4,28,0,0,10,3287
"Ehime","愛媛県",82,0,77,5,0,0,2704
"Kochi","高知県",76,1,71,3,0,1,2089
"Fukuoka","福岡県",937,67,837,33,4,0,18558
"Saga","佐賀県",47,0,47,0,0,0,1747
"Nagasaki","長崎県",32,15,16,1,0,0,4424
"Kumamoto","熊本県",49,0,46,3,0,0,4508
"Oita","大分県",60,0,59,1,0,0,5589
"Miyazaki","宮崎県",20,3,17,0,0,0,1759
"Kagoshima","鹿児島県",162,88,74,0,0,0,8023
"Okinawa","沖縄県",149,5,141,7,0,0,3414
