"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",8869,2281,6394,194,28,0,151817
"Aomori","青森県",299,26,267,6,2,0,6771
"Iwate","岩手県",204,89,111,4,2,0,9575
"Miyagi","宮城県",1211,149,1052,10,5,0,18905
"Akita","秋田県",90,12,77,1,0,0,3674
"Yamagata","山形県",138,30,107,1,1,0,7609
"Fukushima","福島県",501,49,445,7,5,0,40155
"Ibaraki","茨城県",1611,354,1234,23,11,0,16949
"Tochigi","栃木県",664,120,544,2,7,2,54964
"Gunma","群馬県",1239,178,1007,22,3,32,35606
"Saitama","埼玉県",8531,1203,7185,143,31,0,238047
"Chiba","千葉県",7082,874,6119,89,10,0,164934
"Tokyo","東京都",41311,3937,36880,494,62,0,767241
"Kanagawa","神奈川県",12716,1363,11156,197,60,0,256331
"Niigata","新潟県",336,93,243,0,0,0,22350
"Toyama","富山県",459,18,415,26,0,0,17308
"Ishikawa","石川県",859,23,786,50,0,0,22322
"Fukui","福井県",319,22,286,11,0,0,15146
"Yamanashi","山梨県",344,39,296,9,2,0,13574
"Nagano","長野県",736,95,613,6,0,22,31976
"Gifu","岐阜県",1093,190,889,14,1,0,40312
"Shizuoka","静岡県",1674,548,1115,11,8,0,58661
"Aichi","愛知県",10112,1686,8307,119,28,0,143080
"Mie","三重県",865,186,672,7,5,0,19848
"Shiga","滋賀県",793,79,705,9,1,0,27906
"Kyoto","京都府",2671,230,2402,39,5,0,66502
"Osaka","大阪府",20591,4173,16073,326,125,19,328242
"Hyogo","兵庫県",5626,696,4849,81,35,0,96781
"Nara","奈良県",1157,190,955,12,6,0,33415
"Wakayama","和歌山県",462,75,370,6,7,11,13594
"Tottori","鳥取県",58,5,52,0,0,1,16572
"Shimane","島根県",148,5,143,0,1,0,6772
"Okayama","岡山県",609,156,363,11,3,79,19205
"Hiroshima","広島県",856,101,738,6,5,11,35884
"Yamaguchi","山口県",391,61,324,2,3,4,17013
"Tokushima","徳島県",181,7,165,9,1,0,7830
"Kagawa","香川県",147,22,123,2,0,0,17282
"Ehime","愛媛県",320,145,169,6,5,0,7211
"Kochi","高知県",157,10,143,4,0,0,3770
"Fukuoka","福岡県",5860,332,5420,108,5,0,202317
"Saga","佐賀県",319,29,291,2,0,3,9795
"Nagasaki","長崎県",271,19,253,3,0,4,27249
"Kumamoto","熊本県",1021,67,924,13,6,17,24059
"Oita","大分県",309,97,209,3,1,0,27917
"Miyazaki","宮崎県",513,92,421,1,2,1,9821
"Kagoshima","鹿児島県",612,41,571,13,1,13,27621
"Okinawa","沖縄県",4353,404,3885,69,5,5,73253
