"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1296,62,1132,102,5,0,23539
"Aomori","青森県",29,3,25,1,0,0,1104
"Iwate","岩手県",0,0,0,0,0,0,1152
"Miyagi","宮城県",108,12,95,1,0,0,4652
"Akita","秋田県",16,0,16,0,0,0,1018
"Yamagata","山形県",73,3,70,1,0,1,2659
"Fukushima","福島県",84,2,82,0,0,0,8027
"Ibaraki","茨城県",204,22,172,10,1,0,5854
"Tochigi","栃木県",98,19,83,0,0,4,9645
"Gunma","群馬県",156,4,134,19,0,1,5884
"Saitama","埼玉県",1530,334,1129,67,4,0,46737
"Chiba","千葉県",1162,169,947,46,0,0,21193
"Tokyo","東京都",8189,1392,6472,325,7,0,121821
"Kanagawa","神奈川県",1786,191,1497,98,8,0,14495
"Niigata","新潟県",87,3,83,0,0,1,5365
"Toyama","富山県",230,3,205,22,0,0,4319
"Ishikawa","石川県",300,4,269,27,1,0,2964
"Fukui","福井県",124,2,114,8,0,0,3726
"Yamanashi","山梨県",76,1,74,1,0,0,6289
"Nagano","長野県",79,3,76,"-",0,0,4640
"Gifu","岐阜県",165,9,149,7,2,0,5934
"Shizuoka","静岡県",96,13,82,1,0,0,9063
"Aichi","愛知県",532,10,483,34,0,5,14487
"Mie","三重県",50,3,45,1,0,1,3107
"Shiga","滋賀県",106,5,100,1,1,0,2847
"Kyoto","京都府",456,56,382,18,0,0,12393
"Osaka","大阪府",2045,153,1806,86,5,0,47608
"Hyogo","兵庫県",739,25,669,45,0,0,17192
"Nara","奈良県",126,33,91,2,0,0,4383
"Wakayama","和歌山県",84,20,61,3,0,0,4578
"Tottori","鳥取県",5,2,3,0,0,0,2108
"Shimane","島根県",24,0,24,0,0,0,1291
"Okayama","岡山県",28,2,26,"-","-",0,2056
"Hiroshima","広島県",182,13,167,3,0,1,8477
"Yamaguchi","山口県",37,0,37,0,0,0,2739
"Tokushima","徳島県",10,5,4,1,0,0,1227
"Kagawa","香川県",30,2,28,0,0,0,3045
"Ehime","愛媛県",82,0,77,5,0,0,2682
"Kochi","高知県",75,1,71,3,0,0,2028
"Fukuoka","福岡県",924,64,827,33,4,0,18126
"Saga","佐賀県",47,0,47,0,0,0,1725
"Nagasaki","長崎県",30,12,16,1,0,1,4151
"Kumamoto","熊本県",49,0,46,3,0,0,4465
"Oita","大分県",60,0,59,1,0,0,5457
"Miyazaki","宮崎県",20,3,17,0,0,0,1716
"Kagoshima","鹿児島県",155,125,30,0,0,0,7150
"Okinawa","沖縄県",148,4,141,7,0,0,3326
