"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",914,585,286,43
"Aomori","青森県",26,11,15,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",88,19,69,0
"Akita","秋田県",16,3,13,0
"Yamagata","山形県",69,15,54,0
"Fukushima","福島県",79,45,34,0
"Ibaraki","茨城県",168,88,71,9
"Tochigi","栃木県",54,29,25,0
"Gunma","群馬県",147,84,47,16
"Saitama","埼玉県",909,820,62,27
"Chiba","千葉県",837,630,179,28
"Tokyo","東京都",4765,4673,73,19
"Kanagawa","神奈川県",1132,901,188,43
"Niigata","新潟県",78,46,32,0
"Toyama","富山県",219,172,37,10
"Ishikawa","石川県",271,212,46,13
"Fukui","福井県",122,30,84,8
"Yamanashi","山梨県",56,27,29,0
"Nagano","長野県",73,41,32,0
"Gifu","岐阜県",150,38,106,6
"Shizuoka","静岡県",73,30,42,1
"Aichi","愛知県",498,364,99,35
"Mie","三重県",45,15,29,1
"Shiga","滋賀県",98,61,36,1
"Kyoto","京都府",341,123,206,12
"Osaka","大阪府",1704,1019,629,56
"Hyogo","兵庫県",676,558,99,19
"Nara","奈良県",88,48,38,2
"Wakayama","和歌山県",62,17,43,2
"Tottori","鳥取県",3,2,1,0
"Shimane","島根県",24,15,9,0
"Okayama","岡山県",23,13,10,0
"Hiroshima","広島県",162,123,37,2
"Yamaguchi","山口県",37,13,24,0
"Tokushima","徳島県",5,1,3,1
"Kagawa","香川県",28,17,11,0
"Ehime","愛媛県",48,13,32,3
"Kochi","高知県",74,22,49,3
"Fukuoka","福岡県",651,345,284,22
"Saga","佐賀県",45,35,10,0
"Nagasaki","長崎県",17,6,10,1
"Kumamoto","熊本県",47,29,16,2
"Oita","大分県",60,26,33,1
"Miyazaki","宮崎県",17,6,11,0
"Kagoshima","鹿児島県",10,5,5,0
"Okinawa","沖縄県",142,114,24,4
