"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",23270,1256,21108,837,24,69,512060,"JP-01"
"Aomori","青森県",1482,258,1202,22,0,0,31293,"JP-02"
"Iwate","岩手県",848,78,739,31,2,0,54585,"JP-03"
"Miyagi","宮城県",7898,681,7149,59,16,9,115308,"JP-04"
"Akita","秋田県",414,69,336,9,0,0,9637,"JP-05"
"Yamagata","山形県",1441,182,1227,32,5,0,44992,"JP-06"
"Fukushima","福島県",3198,330,2747,121,11,0,180190,"JP-07"
"Ibaraki","茨城県",7887,558,7197,132,13,0,28924,"JP-08"
"Tochigi","栃木県",5227,209,4948,70,4,0,195374,"JP-09"
"Gunma","群馬県",5724,312,5309,103,3,0,131991,"JP-10"
"Saitama","埼玉県",36884,2152,33994,738,29,0,733863,"JP-11"
"Chiba","千葉県",32503,1198,30689,616,16,0,533805,"JP-12"
"Tokyo","東京都",135173,6034,127263,1876,50,0,1962066,"JP-13"
"Kanagawa","神奈川県",52411,1887,49712,812,37,0,779963,"JP-14"
"Niigata","新潟県",2177,405,1754,18,2,0,102304,"JP-15"
"Toyama","富山県",1254,153,1072,29,5,0,48632,"JP-16"
"Ishikawa","石川県",2367,277,2019,69,11,2,69063,"JP-17"
"Fukui","福井県",849,178,638,33,3,0,45455,"JP-18"
"Yamanashi","山梨県",1113,65,1029,19,1,0,35312,"JP-19"
"Nagano","長野県",3735,392,3328,62,5,47,141593,"JP-20"
"Gifu","岐阜県",5635,372,5133,130,6,0,181992,"JP-21"
"Shizuoka","静岡県",6315,284,5910,121,3,0,280654,"JP-22"
"Aichi","愛知県",31732,2773,28340,619,20,0,530413,"JP-23"
"Mie","三重県",3526,534,3006,77,14,91,91905,"JP-24"
"Shiga","滋賀県",3521,457,3003,61,4,0,100974,"JP-25"
"Kyoto","京都府",11427,1142,10142,181,12,38,203699,"JP-26"
"Osaka","大阪府",75559,16692,56828,1361,362,678,1347565,"JP-27"
"Hyogo","兵庫県",28762,4511,23594,657,89,0,361841,"JP-28"
"Nara","奈良県",5768,1103,4592,71,20,2,118912,"JP-29"
"Wakayama","和歌山県",2033,385,1594,22,55,32,30171,"JP-30"
"Tottori","鳥取県",356,66,281,2,0,7,59348,"JP-31"
"Shimane","島根県",332,37,295,0,0,0,19437,"JP-32"
"Okayama","岡山県",3601,396,2907,37,11,261,95544,"JP-33"
"Hiroshima","広島県",5669,259,5277,109,3,24,237949,"JP-34"
"Yamaguchi","山口県",1718,242,1433,43,1,0,77872,"JP-35"
"Tokushima","徳島県",1159,378,746,35,7,0,41222,"JP-36"
"Kagawa","香川県",1154,141,998,21,4,6,59782,"JP-37"
"Ehime","愛媛県",2192,392,1768,32,11,0,57611,"JP-38"
"Kochi","高知県",989,32,938,19,2,0,7710,"JP-39"
"Fukuoka","福岡県",21581,1875,19360,346,16,0,580261,"JP-40"
"Saga","佐賀県",1524,218,1318,13,5,25,37237,"JP-41"
"Nagasaki","長崎県",1947,278,1640,40,1,11,88968,"JP-42"
"Kumamoto","熊本県",3767,203,3487,77,5,0,62103,"JP-43"
"Oita","大分県",1641,282,1335,24,1,0,106440,"JP-44"
"Miyazaki","宮崎県",2140,99,2011,22,0,8,28570,"JP-45"
"Kagoshima","鹿児島県",2024,82,1928,28,0,14,79790,"JP-46"
"Okinawa","沖縄県",12135,1260,10748,133,9,6,185656,"JP-47"
