"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",177,49,121,7
"Aomori","青森県",7,7,0,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",6,5,1,0
"Akita","秋田県",4,2,2,0
"Yamagata","山形県",0,0,0,0
"Fukushima","福島県",2,2,0,0
"Ibaraki","茨城県",20,20,0,0
"Tochigi","栃木県",12,10,2,0
"Gunma","群馬県",18,17,0,1
"Saitama","埼玉県",84,66,15,3
"Chiba","千葉県",160,140,19,1
"Tokyo","東京都",449,407,36,6
"Kanagawa","神奈川県",115,89,20,6
"Niigata","新潟県",31,24,7,0
"Toyama","富山県",1,1,0,0
"Ishikawa","石川県",11,6,5,0
"Fukui","福井県",15,15,0,0
"Yamanashi","山梨県",5,3,2,0
"Nagano","長野県",8,5,3,0
"Gifu","岐阜県",21,20,1,0
"Shizuoka","静岡県",4,2,2,0
"Aichi","愛知県",170,109,42,19
"Mie","三重県",11,9,2,0
"Shiga","滋賀県",6,5,1,0
"Kyoto","京都府",54,41,13,0
"Osaka","大阪府",217,167,48,2
"Hyogo","兵庫県",136,108,18,10
"Nara","奈良県",11,3,8,0
"Wakayama","和歌山県",17,3,13,1
"Tottori","鳥取県",0,0,0,0
"Shimane","島根県",0,0,0,0
"Okayama","岡山県",4,4,0,0
"Hiroshima","広島県",6,5,1,0
"Yamaguchi","山口県",6,4,2,0
"Tokushima","徳島県",1,0,1,0
"Kagawa","香川県",1,1,0,0
"Ehime","愛媛県",4,2,2,0
"Kochi","高知県",15,3,12,0
"Fukuoka","福岡県",23,21,2,0
"Saga","佐賀県",1,1,0,0
"Nagasaki","長崎県",2,2,0,0
"Kumamoto","熊本県",11,8,3,0
"Oita","大分県",28,27,1,0
"Miyazaki","宮崎県",3,2,1,0
"Kagoshima","鹿児島県",1,1,0,0
"Okinawa","沖縄県",9,7,2,0
