"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",21108,760,19603,754,20,9,453600,"JP-01"
"Aomori","青森県",1058,151,887,20,0,0,25578,"JP-02"
"Iwate","岩手県",673,87,556,30,0,0,45756,"JP-03"
"Miyagi","宮城県",6210,1493,4685,32,9,0,92693,"JP-04"
"Akita","秋田県",288,10,272,6,0,0,7580,"JP-05"
"Yamagata","山形県",995,317,661,17,1,0,35828,"JP-06"
"Fukushima","福島県",2555,278,2162,115,11,0,152667,"JP-07"
"Ibaraki","茨城県",6800,322,6351,127,1,0,26579,"JP-08"
"Tochigi","栃木県",4691,225,4396,70,2,0,171947,"JP-09"
"Gunma","群馬県",5065,211,4755,99,4,0,114876,"JP-10"
"Saitama","埼玉県",33123,1495,30925,703,36,0,654678,"JP-11"
"Chiba","千葉県",29840,1121,28146,573,21,0,483607,"JP-12"
"Tokyo","東京都",121901,3601,116524,1776,43,0,1777220,"JP-13"
"Kanagawa","神奈川県",48337,925,46626,786,24,0,702970,"JP-14"
"Niigata","新潟県",1516,206,1292,18,2,0,84050,"JP-15"
"Toyama","富山県",942,24,889,29,0,0,42146,"JP-16"
"Ishikawa","石川県",1930,40,1824,64,0,2,61020,"JP-17"
"Fukui","福井県",597,44,528,25,0,0,35859,"JP-18"
"Yamanashi","山梨県",981,23,939,19,0,0,32134,"JP-19"
"Nagano","長野県",2855,246,2586,41,1,18,117807,"JP-20"
"Gifu","岐阜県",4979,131,4722,126,4,0,161013,"JP-21"
"Shizuoka","静岡県",5755,258,5379,118,1,0,250200,"JP-22"
"Aichi","愛知県",27446,732,26130,584,11,0,469439,"JP-23"
"Mie","三重県",2803,171,2642,71,1,81,79034,"JP-24"
"Shiga","滋賀県",2824,142,2626,56,4,0,87113,"JP-25"
"Kyoto","京都府",9573,288,9125,170,1,10,179251,"JP-26"
"Osaka","大阪府",53430,4101,47706,1189,112,434,1073091,"JP-27"
"Hyogo","兵庫県",20258,1417,18247,594,72,0,300013,"JP-28"
"Nara","奈良県",3869,362,3452,55,4,0,98084,"JP-29"
"Wakayama","和歌山県",1319,113,1164,18,5,24,26989,"JP-30"
"Tottori","鳥取県",269,54,205,2,0,8,48976,"JP-31"
"Shimane","島根県",288,4,284,0,0,0,18022,"JP-32"
"Okayama","岡山県",2721,82,2575,36,3,28,81422,"JP-33"
"Hiroshima","広島県",5181,88,4977,106,1,10,181159,"JP-34"
"Yamaguchi","山口県",1427,31,1353,43,0,0,68811,"JP-35"
"Tokushima","徳島県",562,96,448,18,2,0,32640,"JP-36"
"Kagawa","香川県",872,100,756,19,0,3,52059,"JP-37"
"Ehime","愛媛県",1423,342,1057,24,0,0,41021,"JP-38"
"Kochi","高知県",919,11,889,19,2,0,7447,"JP-39"
"Fukuoka","福岡県",19041,351,18358,332,5,0,513202,"JP-40"
"Saga","佐賀県",1206,49,1165,13,0,21,32235,"JP-41"
"Nagasaki","長崎県",1643,26,1578,39,0,0,78127,"JP-42"
"Kumamoto","熊本県",3517,27,3416,74,2,0,58210,"JP-43"
"Oita","大分県",1315,15,1278,22,1,0,93351,"JP-44"
"Miyazaki","宮崎県",1966,20,1924,22,0,0,24863,"JP-45"
"Kagoshima","鹿児島県",1839,54,1778,28,0,21,73778,"JP-46"
"Okinawa","沖縄県",9678,765,8791,128,2,6,164199,"JP-47"
