"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1632,129,1400,103,3,0,36655
"Aomori","青森県",33,1,31,1,0,0,1755
"Iwate","岩手県",9,5,4,0,0,0,2257
"Miyagi","宮城県",185,8,176,1,1,0,7166
"Akita","秋田県",44,16,27,0,0,1,1578
"Yamagata","山形県",76,0,76,1,0,1,3007
"Fukushima","福島県",109,19,90,0,1,0,12215
"Ibaraki","茨城県",463,81,372,10,1,0,9419
"Tochigi","栃木県",282,39,230,1,2,12,18751
"Gunma","群馬県",307,99,189,19,0,0,10523
"Saitama","埼玉県",3280,516,2682,82,11,0,92173
"Chiba","千葉県",2532,482,1992,58,9,0,45960
"Tokyo","東京都",18082,3338,14400,344,31,0,265644
"Kanagawa","神奈川県",3988,652,3231,105,21,0,93284
"Niigata","新潟県",133,9,123,0,0,1,11029
"Toyama","富山県",319,53,247,22,3,3,6762
"Ishikawa","石川県",486,138,319,29,2,0,4189
"Fukui","福井県",155,6,141,8,1,0,5978
"Yamanashi","山梨県",142,21,120,1,0,0,8731
"Nagano","長野県",150,28,126,"-",0,4,11135
"Gifu","岐阜県",520,64,448,8,3,0,15712
"Shizuoka","静岡県",425,73,351,1,2,0,19718
"Aichi","愛知県",3787,1323,2414,45,15,5,40609
"Mie","三重県",285,92,191,2,1,0,7642
"Shiga","滋賀県",354,105,245,4,4,0,7340
"Kyoto","京都府",1138,192,925,21,4,0,25126
"Osaka","大阪府",7101,1695,5284,117,65,5,108525
"Hyogo","兵庫県",1924,280,1596,48,11,0,36814
"Nara","奈良県",440,122,315,3,3,0,11572
"Wakayama","和歌山県",209,32,171,4,1,2,7467
"Tottori","鳥取県",21,11,10,0,0,0,4351
"Shimane","島根県",133,85,48,0,0,0,4257
"Okayama","岡山県",128,20,90,"-","-",18,3847
"Hiroshima","広島県",437,37,397,3,1,0,16267
"Yamaguchi","山口県",84,18,66,0,0,0,5119
"Tokushima","徳島県",95,47,40,1,0,7,4049
"Kagawa","香川県",65,8,56,1,0,0,6505
"Ehime","愛媛県",110,9,95,6,0,0,3454
"Kochi","高知県",103,20,80,3,0,0,2616
"Fukuoka","福岡県",3683,1013,2628,42,23,0,35498
"Saga","佐賀県",199,50,150,0,0,1,4034
"Nagasaki","長崎県",189,31,36,3,"-",119,11135
"Kumamoto","熊本県",417,95,252,7,4,63,9343
"Oita","大分県",120,36,83,1,0,0,9554
"Miyazaki","宮崎県",273,66,207,1,0,1,7054
"Kagoshima","鹿児島県",335,64,253,7,2,11,13513
"Okinawa","沖縄県",1689,856,823,14,14,0,18954
