"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1091,195,810,86,11,0,14421
"Aomori","青森県",27,0,26,1,0,0,853
"Iwate","岩手県",0,0,0,0,0,0,672
"Miyagi","宮城県",88,0,87,1,0,0,2950
"Akita","秋田県",16,0,16,0,0,0,933
"Yamagata","山形県",69,3,66,0,1,0,2660
"Fukushima","福島県",81,6,75,0,0,0,4489
"Ibaraki","茨城県",168,6,152,10,0,0,4684
"Tochigi","栃木県",65,12,53,0,2,0,3909
"Gunma","群馬県",149,9,121,19,1,0,3662
"Saitama","埼玉県",1003,59,896,48,5,0,20933
"Chiba","千葉県",909,49,815,45,4,0,14814
"Tokyo","東京都",5249,405,4539,305,29,0,15212
"Kanagawa","神奈川県",1370,184,1102,84,24,0,9637
"Niigata","新潟県",83,3,79,0,0,1,4180
"Toyama","富山県",227,15,190,22,0,0,3190
"Ishikawa","石川県",298,52,221,25,2,0,2727
"Fukui","福井県",122,2,112,8,1,0,2638
"Yamanashi","山梨県",64,4,59,1,0,0,4038
"Nagano","長野県",76,7,69,"-",0,0,2727
"Gifu","岐阜県",151,3,141,7,1,0,3614
"Shizuoka","静岡県",76,2,73,1,0,0,3526
"Aichi","愛知県",508,12,457,34,0,5,10142
"Mie","三重県",45,0,44,1,0,0,2508
"Shiga","滋賀県",100,8,91,1,1,0,1859
"Kyoto","京都府",358,16,325,17,1,0,8085
"Osaka","大阪府",1783,102,1594,83,16,4,31276
"Hyogo","兵庫県",699,27,630,42,5,0,11153
"Nara","奈良県",92,2,88,2,0,0,2545
"Wakayama","和歌山県",63,3,57,3,0,0,3708
"Tottori","鳥取県",3,0,3,0,0,0,1343
"Shimane","島根県",24,2,22,0,1,0,1128
"Okayama","岡山県",25,0,25,"-","-",0,1709
"Hiroshima","広島県",168,7,158,3,0,0,6979
"Yamaguchi","山口県",37,2,35,0,1,0,1758
"Tokushima","徳島県",5,0,4,1,0,0,744
"Kagawa","香川県",28,0,28,0,0,0,2192
"Ehime","愛媛県",82,26,52,4,1,0,2208
"Kochi","高知県",74,0,71,3,0,0,1798
"Fukuoka","福岡県",758,107,625,26,4,0,12810
"Saga","佐賀県",47,3,42,0,0,2,1418
"Nagasaki","長崎県",17,0,16,1,0,0,2770
"Kumamoto","熊本県",48,2,43,3,0,0,3930
"Oita","大分県",60,1,58,1,0,0,4003
"Miyazaki","宮崎県",17,0,17,0,0,0,1386
"Kagoshima","鹿児島県",10,0,10,0,0,0,1871
"Okinawa","沖縄県",142,3,137,6,2,0,2870
