"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1605,134,1368,103,3,0,35641
"Aomori","青森県",33,1,31,1,0,0,1689
"Iwate","岩手県",8,6,2,0,0,0,2176
"Miyagi","宮城県",184,12,171,1,1,0,7062
"Akita","秋田県",40,13,25,0,0,2,1450
"Yamagata","山形県",76,0,76,1,0,1,2997
"Fukushima","福島県",105,16,89,0,1,0,11802
"Ibaraki","茨城県",450,95,345,10,2,0,9203
"Tochigi","栃木県",269,42,213,1,4,13,18168
"Gunma","群馬県",279,83,177,19,0,0,10264
"Saitama","埼玉県",3165,573,2510,82,10,0,87683
"Chiba","千葉県",2415,492,1867,56,7,0,43917
"Tokyo","東京都",17454,3520,13596,338,23,0,253605
"Kanagawa","神奈川県",3774,593,3076,105,22,0,87845
"Niigata","新潟県",129,0,121,0,0,8,7873
"Toyama","富山県",307,52,236,22,0,3,6591
"Ishikawa","石川県",438,112,298,28,3,0,3995
"Fukui","福井県",154,8,138,8,1,0,5862
"Yamanashi","山梨県",136,31,104,1,0,0,8444
"Nagano","長野県",148,35,114,"-",0,1,10614
"Gifu","岐阜県",511,90,414,7,3,0,15207
"Shizuoka","静岡県",398,78,319,1,2,0,18540
"Aichi","愛知県",3454,1632,1913,39,13,130,37041
"Mie","三重県",268,118,149,1,2,0,7203
"Shiga","滋賀県",331,118,210,3,4,0,6863
"Kyoto","京都府",1061,208,832,21,3,0,23577
"Osaka","大阪府",6698,1695,4892,106,70,5,103356
"Hyogo","兵庫県",1810,272,1490,48,14,0,35200
"Nara","奈良県",369,71,295,3,1,0,11572
"Wakayama","和歌山県",194,23,165,4,3,2,7291
"Tottori","鳥取県",21,13,8,0,0,0,4286
"Shimane","島根県",132,103,29,0,0,0,4161
"Okayama","岡山県",125,20,90,"-","-",15,3786
"Hiroshima","広島県",433,71,360,3,1,1,15725
"Yamaguchi","山口県",82,24,58,0,0,0,4978
"Tokushima","徳島県",86,43,27,1,0,15,3554
"Kagawa","香川県",62,11,50,1,0,0,6293
"Ehime","愛媛県",110,13,91,6,0,0,3416
"Kochi","高知県",97,4,79,3,0,11,2465
"Fukuoka","福岡県",3484,1195,2250,39,17,0,34012
"Saga","佐賀県",190,76,117,0,0,3,3893
"Nagasaki","長崎県",184,37,36,3,"-",108,10571
"Kumamoto","熊本県",392,94,211,5,3,82,8826
"Oita","大分県",97,20,76,1,0,0,8863
"Miyazaki","宮崎県",256,78,178,1,0,1,6761
"Kagoshima","鹿児島県",281,24,242,4,2,11,13001
"Okinawa","沖縄県",1558,1123,428,11,17,0,16561
