"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1579,153,1323,103,3,0,34341
"Aomori","青森県",32,2,29,1,0,0,1610
"Iwate","岩手県",7,6,1,0,0,0,1969
"Miyagi","宮城県",182,19,162,1,1,0,6857
"Akita","秋田県",36,15,20,0,0,1,1415
"Yamagata","山形県",76,1,75,1,0,1,2984
"Fukushima","福島県",100,12,88,0,0,0,11259
"Ibaraki","茨城県",416,101,305,10,1,0,8827
"Tochigi","栃木県",261,45,187,0,3,29,16961
"Gunma","群馬県",244,54,171,19,0,0,9784
"Saitama","埼玉県",3001,538,2383,80,8,0,84977
"Chiba","千葉県",2258,525,1678,55,5,0,41138
"Tokyo","東京都",16474,3612,12526,336,21,0,239875
"Kanagawa","神奈川県",3398,562,2732,104,15,0,47699
"Niigata","新潟県",129,12,116,0,0,1,7595
"Toyama","富山県",293,44,227,22,0,0,6409
"Ishikawa","石川県",399,78,293,28,2,0,3734
"Fukui","福井県",154,14,132,8,1,0,5684
"Yamanashi","山梨県",133,30,102,1,0,0,8294
"Nagano","長野県",139,35,104,"-",0,0,10103
"Gifu","岐阜県",484,123,354,7,3,0,14247
"Shizuoka","静岡県",382,84,297,1,2,0,17599
"Aichi","愛知県",3306,1746,1518,37,14,5,34291
"Mie","三重県",249,147,99,1,2,2,6940
"Shiga","滋賀県",311,122,186,3,3,0,6328
"Kyoto","京都府",1001,187,793,21,4,0,22826
"Osaka","大阪府",6178,1671,4406,98,55,3,96375
"Hyogo","兵庫県",1692,276,1369,47,13,0,33215
"Nara","奈良県",341,79,260,2,1,0,11572
"Wakayama","和歌山県",186,18,162,4,4,2,7093
"Tottori","鳥取県",21,16,5,0,0,0,4221
"Shimane","島根県",130,94,33,0,0,3,3577
"Okayama","岡山県",117,27,84,"-","-",6,3607
"Hiroshima","広島県",423,89,328,3,1,3,15001
"Yamaguchi","山口県",78,25,53,0,0,0,4773
"Tokushima","徳島県",62,38,17,1,0,6,3053
"Kagawa","香川県",60,13,47,0,1,0,6063
"Ehime","愛媛県",107,14,88,5,1,0,3311
"Kochi","高知県",83,2,78,3,0,0,2404
"Fukuoka","福岡県",3138,1280,1820,38,21,0,32268
"Saga","佐賀県",174,72,105,0,0,3,3635
"Nagasaki","長崎県",170,34,36,3,"-",97,9897
"Kumamoto","熊本県",371,128,158,5,2,80,8346
"Oita","大分県",93,27,65,1,0,0,8260
"Miyazaki","宮崎県",243,103,140,0,2,0,6485
"Kagoshima","鹿児島県",277,37,229,3,2,8,12432
"Okinawa","沖縄県",1307,976,325,10,12,0,16497
