"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",41466,708,39388,1405,23,35,787474,"JP-01"
"Aomori","青森県",2520,63,2426,31,0,0,51214,"JP-02"
"Iwate","岩手県",1713,64,1602,47,1,0,87030,"JP-03"
"Miyagi","宮城県",9187,92,8995,90,4,10,158278,"JP-04"
"Akita","秋田県",907,99,788,20,1,0,15564,"JP-05"
"Yamagata","山形県",2028,16,1965,47,1,0,66016,"JP-06"
"Fukushima","福島県",4962,157,4644,161,3,0,283651,"JP-07"
"Ibaraki","茨城県",10651,246,10240,165,5,0,33467,"JP-08"
"Tochigi","栃木県",7120,247,6791,82,7,0,306285,"JP-09"
"Gunma","群馬県",8051,45,7854,152,5,0,194942,"JP-10"
"Saitama","埼玉県",46944,1202,44910,832,21,0,978027,"JP-11"
"Chiba","千葉県",40889,1216,38963,710,17,0,698007,"JP-12"
"Tokyo","東京都",176501,5065,169197,2239,51,0,2543617,"JP-13"
"Kanagawa","神奈川県",68312,1818,65542,952,37,0,1047212,"JP-14"
"Niigata","新潟県",3423,45,3326,52,2,0,173306,"JP-15"
"Toyama","富山県",2042,16,1988,38,1,0,74335,"JP-16"
"Ishikawa","石川県",3954,34,3801,115,1,4,124083,"JP-17"
"Fukui","福井県",1327,139,1153,35,0,0,69860,"JP-18"
"Yamanashi","山梨県",2106,82,2004,21,1,1,58651,"JP-19"
"Nagano","長野県",5039,48,4975,91,0,75,208048,"JP-20"
"Gifu","岐阜県",9466,74,9205,187,4,0,272888,"JP-21"
"Shizuoka","静岡県",9395,282,8961,152,6,0,407868,"JP-22"
"Aichi","愛知県",51161,634,49556,971,17,0,835239,"JP-23"
"Mie","三重県",5279,78,5228,112,4,139,145510,"JP-24"
"Shiga","滋賀県",5571,64,5417,90,4,0,153346,"JP-25"
"Kyoto","京都府",16661,142,16255,246,7,18,286512,"JP-26"
"Osaka","大阪府",103850,1229,99147,2680,148,794,2185473,"JP-27"
"Hyogo","兵庫県",41005,253,39444,1308,19,0,512406,"JP-28"
"Nara","奈良県",8378,174,8073,131,6,0,170318,"JP-29"
"Wakayama","和歌山県",2693,22,2564,49,2,58,42128,"JP-30"
"Tottori","鳥取県",491,18,457,2,0,14,84118,"JP-31"
"Shimane","島根県",553,3,549,1,1,0,31436,"JP-32"
"Okayama","岡山県",7596,25,7439,126,4,6,165308,"JP-33"
"Hiroshima","広島県",11526,100,11239,175,12,12,553751,"JP-34"
"Yamaguchi","山口県",3159,54,3025,80,1,0,122050,"JP-35"
"Tokushima","徳島県",1657,3,1591,63,0,0,65393,"JP-36"
"Kagawa","香川県",2100,16,2058,31,1,5,86905,"JP-37"
"Ehime","愛媛県",2755,5,2675,75,3,0,97164,"JP-38"
"Kochi","高知県",1851,81,1744,26,9,0,11563,"JP-39"
"Fukuoka","福岡県",35639,357,34732,522,12,28,839693,"JP-40"
"Saga","佐賀県",2565,16,2561,24,0,36,57575,"JP-41"
"Nagasaki","長崎県",3216,88,3060,69,0,1,126322,"JP-42"
"Kumamoto","熊本県",6486,60,6308,118,3,0,82317,"JP-43"
"Oita","大分県",3494,15,3415,64,0,0,170404,"JP-44"
"Miyazaki","宮崎県",3099,20,3028,27,0,24,44507,"JP-45"
"Kagoshima","鹿児島県",3698,59,3636,38,2,35,112032,"JP-46"
"Okinawa","沖縄県",21017,925,19907,191,45,6,253685,"JP-47"
