"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",60474,183,58825,1469,0,3,1122657,"JP-01"
"Aomori","青森県",5839,146,5655,38,2,0,90235,"JP-02"
"Iwate","岩手県",3486,4,3429,53,0,0,122855,"JP-03"
"Miyagi","宮城県",16246,34,16095,117,1,0,242708,"JP-04"
"Akita","秋田県",1893,9,1857,27,0,0,26739,"JP-05"
"Yamagata","山形県",3519,13,3450,56,0,0,99682,"JP-06"
"Fukushima","福島県",9469,20,9274,175,2,0,414020,"JP-07"
"Ibaraki","茨城県",24332,120,23995,217,8,0,40366,"JP-08"
"Tochigi","栃木県",15399,88,15195,116,3,0,486367,"JP-09"
"Gunma","群馬県",16679,69,16436,174,3,0,299836,"JP-10"
"Saitama","埼玉県",115336,525,113793,1018,27,0,1470823,"JP-11"
"Chiba","千葉県",100124,363,98715,1010,21,36,1083005,"JP-12"
"Tokyo","東京都",376974,1150,372767,3057,43,0,3696668,"JP-13"
"Kanagawa","神奈川県",168534,579,166667,1288,27,0,1617673,"JP-14"
"Niigata","新潟県",7960,62,7837,61,2,0,289250,"JP-15"
"Toyama","富山県",4842,36,4755,51,1,0,115816,"JP-16"
"Ishikawa","石川県",7926,39,7736,129,1,22,196147,"JP-17"
"Fukui","福井県",3091,20,3034,37,0,0,117645,"JP-18"
"Yamanashi","山梨県",5141,10,5103,29,0,1,111974,"JP-19"
"Nagano","長野県",8817,52,8724,96,0,55,320835,"JP-20"
"Gifu","岐阜県",18986,170,18798,216,3,198,413321,"JP-21"
"Shizuoka","静岡県",26698,40,26401,209,1,48,625523,"JP-22"
"Aichi","愛知県",105926,479,104296,1151,12,0,1323431,"JP-23"
"Mie","三重県",14722,95,14785,163,3,321,263303,"JP-24"
"Shiga","滋賀県",12332,49,12181,102,1,0,258168,"JP-25"
"Kyoto","京都府",35763,235,35220,289,11,19,425157,"JP-26"
"Osaka","大阪府",201429,1549,195222,3015,158,1643,3526163,"JP-27"
"Hyogo","兵庫県",78015,504,76119,1392,13,0,754833,"JP-28"
"Nara","奈良県",15785,106,15530,149,3,0,252073,"JP-29"
"Wakayama","和歌山県",5281,16,5099,62,1,104,65539,"JP-30"
"Tottori","鳥取県",1654,10,1615,5,0,24,148695,"JP-31"
"Shimane","島根県",1633,9,1619,5,0,0,55076,"JP-32"
"Okayama","岡山県",15202,79,14937,136,1,50,266922,"JP-33"
"Hiroshima","広島県",21828,116,21513,199,4,0,889244,"JP-34"
"Yamaguchi","山口県",5669,70,5508,91,0,0,189336,"JP-35"
"Tokushima","徳島県",3279,19,3195,65,0,0,104710,"JP-36"
"Kagawa","香川県",4695,13,4644,38,1,0,129781,"JP-37"
"Ehime","愛媛県",5287,89,5116,82,1,0,153274,"JP-38"
"Kochi","高知県",4123,12,4080,31,2,0,99099,"JP-39"
"Fukuoka","福岡県",74230,396,73195,618,16,21,1262868,"JP-40"
"Saga","佐賀県",5805,31,5794,29,1,49,104741,"JP-41"
"Nagasaki","長崎県",6052,47,5932,73,0,0,181068,"JP-42"
"Kumamoto","熊本県",14336,40,14161,135,4,0,123147,"JP-43"
"Oita","大分県",8176,48,8044,84,1,0,267196,"JP-44"
"Miyazaki","宮崎県",6146,14,6075,41,0,16,72926,"JP-45"
"Kagoshima","鹿児島県",9083,26,9056,65,0,64,168575,"JP-46"
"Okinawa","沖縄県",49947,277,49274,350,3,46,397898,"JP-47"
