"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",267,98,158,11
"Aomori","青森県",22,19,3,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",52,50,2,0
"Akita","秋田県",15,10,5,0
"Yamagata","山形県",34,34,0,0
"Fukushima","福島県",38,35,3,0
"Ibaraki","茨城県",109,97,9,3
"Tochigi","栃木県",35,30,5,0
"Gunma","群馬県",90,83,5,2
"Saitama","埼玉県",386,355,26,5
"Chiba","千葉県",455,412,39,4
"Tokyo","東京都",2080,2004,57,19
"Kanagawa","神奈川県",478,427,44,7
"Niigata","新潟県",42,18,24,0
"Toyama","富山県",30,30,0,0
"Ishikawa","石川県",113,108,5,0
"Fukui","福井県",88,80,6,2
"Yamanashi","山梨県",35,33,2,0
"Nagano","長野県",29,26,3,0
"Gifu","岐阜県",105,99,5,1
"Shizuoka","静岡県",41,38,3,0
"Aichi","愛知県",319,234,63,22
"Mie","三重県",17,8,9,0
"Shiga","滋賀県",38,35,3,0
"Kyoto","京都府",193,157,33,3
"Osaka","大阪府",812,679,127,6
"Hyogo","兵庫県",375,303,59,13
"Nara","奈良県",41,33,8,0
"Wakayama","和歌山県",34,16,17,1
"Tottori","鳥取県",1,1,0,0
"Shimane","島根県",7,7,0,0
"Okayama","岡山県",16,15,1,0
"Hiroshima","広島県",56,53,3,0
"Yamaguchi","山口県",23,20,3,0
"Tokushima","徳島県",3,0,3,0
"Kagawa","香川県",8,7,1,0
"Ehime","愛媛県",30,24,4,2
"Kochi","高知県",60,46,14,0
"Fukuoka","福岡県",362,355,7,0
"Saga","佐賀県",13,12,1,0
"Nagasaki","長崎県",14,12,2,0
"Kumamoto","熊本県",28,23,4,1
"Oita","大分県",42,32,10,0
"Miyazaki","宮崎県",17,14,3,0
"Kagoshima","鹿児島県",4,4,0,0
"Okinawa","沖縄県",66,63,3,0
