"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",407,220,171,16
"Aomori","青森県",22,16,6,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",83,75,8,0
"Akita","秋田県",16,11,5,0
"Yamagata","山形県",60,50,10,0
"Fukushima","福島県",60,57,3,0
"Ibaraki","茨城県",135,116,14,5
"Tochigi","栃木県",44,36,8,0
"Gunma","群馬県",120,111,5,4
"Saitama","埼玉県",610,569,32,9
"Chiba","千葉県",643,569,67,7
"Tokyo","東京都",2988,2910,59,19
"Kanagawa","神奈川県",754,670,68,16
"Niigata","新潟県",56,27,29,0
"Toyama","富山県",79,77,2,0
"Ishikawa","石川県",173,164,5,4
"Fukui","福井県",106,94,8,4
"Yamanashi","山梨県",48,39,9,0
"Nagano","長野県",47,43,4,0
"Gifu","岐阜県",137,119,16,2
"Shizuoka","静岡県",50,42,8,0
"Aichi","愛知県",391,301,66,24
"Mie","三重県",35,23,11,1
"Shiga","滋賀県",70,59,10,1
"Kyoto","京都府",242,186,53,3
"Osaka","大阪府",1164,934,220,10
"Hyogo","兵庫県",502,420,65,17
"Nara","奈良県",60,47,12,1
"Wakayama","和歌山県",40,20,19,1
"Tottori","鳥取県",3,3,0,0
"Shimane","島根県",15,15,0,0
"Okayama","岡山県",18,15,3,0
"Hiroshima","広島県",129,118,11,0
"Yamaguchi","山口県",30,25,5,0
"Tokushima","徳島県",3,0,3,0
"Kagawa","香川県",24,23,1,0
"Ehime","愛媛県",44,36,5,3
"Kochi","高知県",64,45,18,1
"Fukuoka","福岡県",500,424,66,10
"Saga","佐賀県",16,15,1,0
"Nagasaki","長崎県",17,15,2,0
"Kumamoto","熊本県",35,28,6,1
"Oita","大分県",54,36,17,1
"Miyazaki","宮崎県",17,13,4,0
"Kagoshima","鹿児島県",7,6,1,0
"Okinawa","沖縄県",101,94,6,1
