"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",562,341,196,25
"Aomori","青森県",22,8,14,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",84,55,29,0
"Akita","秋田県",16,9,7,0
"Yamagata","山形県",66,49,17,0
"Fukushima","福島県",66,47,19,0
"Ibaraki","茨城県",157,127,24,6
"Tochigi","栃木県",53,40,13,0
"Gunma","群馬県",140,117,14,9
"Saitama","埼玉県",767,718,34,15
"Chiba","千葉県",768,655,95,18
"Tokyo","東京都",3747,3669,59,19
"Kanagawa","神奈川県",912,765,123,24
"Niigata","新潟県",65,32,33,0
"Toyama","富山県",163,151,9,3
"Ishikawa","石川県",222,201,16,5
"Fukui","福井県",120,81,34,5
"Yamanashi","山梨県",51,29,22,0
"Nagano","長野県",67,59,8,0
"Gifu","岐阜県",146,115,24,7
"Shizuoka","静岡県",59,46,13,0
"Aichi","愛知県",474,378,66,30
"Mie","三重県",45,33,11,1
"Shiga","滋賀県",93,79,13,1
"Kyoto","京都府",286,186,93,7
"Osaka","大阪府",1448,1177,246,25
"Hyogo","兵庫県",605,520,68,17
"Nara","奈良県",76,61,14,1
"Wakayama","和歌山県",52,28,23,1
"Tottori","鳥取県",3,3,0,0
"Shimane","島根県",16,14,2,0
"Okayama","岡山県",20,15,5,0
"Hiroshima","広島県",142,127,14,1
"Yamaguchi","山口県",31,15,16,0
"Tokushima","徳島県",5,2,3,0
"Kagawa","香川県",28,24,4,0
"Ehime","愛媛県",47,24,20,3
"Kochi","高知県",71,41,28,2
"Fukuoka","福岡県",584,433,136,15
"Saga","佐賀県",32,26,6,0
"Nagasaki","長崎県",16,9,6,1
"Kumamoto","熊本県",43,33,9,1
"Oita","大分県",60,33,26,1
"Miyazaki","宮崎県",17,10,7,0
"Kagoshima","鹿児島県",10,7,3,0
"Okinawa","沖縄県",133,118,11,4
