"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",22459,1013,20623,805,24,18,494017,"JP-01"
"Aomori","青森県",1320,176,1124,20,0,0,29612,"JP-02"
"Iwate","岩手県",781,49,701,31,1,0,52432,"JP-03"
"Miyagi","宮城県",7601,867,6668,49,19,17,111513,"JP-04"
"Akita","秋田県",377,56,312,9,1,0,9186,"JP-05"
"Yamagata","山形県",1349,241,1080,28,4,0,43463,"JP-06"
"Fukushima","福島県",3007,274,2615,118,11,0,171573,"JP-07"
"Ibaraki","茨城県",7484,430,6924,130,9,0,28508,"JP-08"
"Tochigi","栃木県",5080,169,4841,70,3,0,190190,"JP-09"
"Gunma","群馬県",5494,272,5120,102,8,0,127459,"JP-10"
"Saitama","埼玉県",35570,1646,33194,730,34,0,709844,"JP-11"
"Chiba","千葉県",31714,1187,29926,601,12,0,516145,"JP-12"
"Tokyo","東京都",130488,4785,123856,1847,47,0,1909918,"JP-13"
"Kanagawa","神奈川県",51021,1539,48681,801,27,0,760497,"JP-14"
"Niigata","新潟県",1951,297,1636,18,4,0,96775,"JP-15"
"Toyama","富山県",1154,136,989,29,2,0,46867,"JP-16"
"Ishikawa","石川県",2192,188,1935,67,12,2,66117,"JP-17"
"Fukui","福井県",741,104,606,31,2,0,41883,"JP-18"
"Yamanashi","山梨県",1071,54,998,19,1,0,35312,"JP-19"
"Nagano","長野県",3525,400,3108,53,2,36,135888,"JP-20"
"Gifu","岐阜県",5376,270,4977,129,4,0,174558,"JP-21"
"Shizuoka","静岡県",6158,239,5798,121,3,0,273186,"JP-22"
"Aichi","愛知県",30194,2112,27470,612,12,0,515953,"JP-23"
"Mie","三重県",3189,315,2892,75,13,93,86936,"JP-24"
"Shiga","滋賀県",3233,329,2843,61,3,0,97622,"JP-25"
"Kyoto","京都府",10924,922,9854,179,10,31,196943,"JP-26"
"Osaka","大阪府",68688,13475,53319,1273,302,621,1259835,"JP-27"
"Hyogo","兵庫県",25739,3936,21177,626,81,0,341684,"JP-28"
"Nara","奈良県",5164,876,4227,61,23,0,113113,"JP-29"
"Wakayama","和歌山県",1807,328,1431,20,44,28,30171,"JP-30"
"Tottori","鳥取県",343,96,238,2,0,7,57430,"JP-31"
"Shimane","島根県",297,9,288,0,0,0,18895,"JP-32"
"Okayama","岡山県",3244,246,2742,35,4,221,89012,"JP-33"
"Hiroshima","広島県",5436,156,5156,107,1,17,201024,"JP-34"
"Yamaguchi","山口県",1570,126,1401,43,0,0,74020,"JP-35"
"Tokushima","徳島県",939,305,607,27,6,0,37102,"JP-36"
"Kagawa","香川県",1065,115,934,19,3,3,57617,"JP-37"
"Ehime","愛媛県",1970,344,1598,28,8,0,52286,"JP-38"
"Kochi","高知県",965,20,926,19,1,0,7595,"JP-39"
"Fukuoka","福岡県",20242,956,18942,344,12,0,552868,"JP-40"
"Saga","佐賀県",1352,96,1265,13,0,22,34919,"JP-41"
"Nagasaki","長崎県",1779,131,1608,40,0,0,85701,"JP-42"
"Kumamoto","熊本県",3591,67,3450,74,3,0,60022,"JP-43"
"Oita","大分県",1379,39,1318,22,1,0,101276,"JP-44"
"Miyazaki","宮崎県",2053,60,1986,22,0,15,27800,"JP-45"
"Kagoshima","鹿児島県",1970,71,1893,28,1,22,78467,"JP-46"
"Okinawa","沖縄県",11521,1192,10205,130,11,6,179773,"JP-47"
