"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",41271,1260,38672,1389,30,50,772971,"JP-01"
"Aomori","青森県",2479,36,2412,31,0,0,49897,"JP-02"
"Iwate","岩手県",1667,50,1571,46,1,0,83925,"JP-03"
"Miyagi","宮城県",9113,61,8959,90,4,3,155946,"JP-04"
"Akita","秋田県",848,78,750,20,1,0,15223,"JP-05"
"Yamagata","山形県",2020,12,1961,47,2,0,65598,"JP-06"
"Fukushima","福島県",4864,124,4579,161,5,0,277618,"JP-07"
"Ibaraki","茨城県",10491,256,10071,164,4,0,33237,"JP-08"
"Tochigi","栃木県",6977,221,6675,81,12,0,284477,"JP-09"
"Gunma","群馬県",8029,55,7822,152,5,0,192028,"JP-10"
"Saitama","埼玉県",46253,995,44428,830,14,0,959876,"JP-11"
"Chiba","千葉県",40055,1070,38281,704,17,0,677787,"JP-12"
"Tokyo","東京都",172744,4068,166449,2227,41,0,2498596,"JP-13"
"Kanagawa","神奈川県",67001,1711,64345,945,40,0,1028896,"JP-14"
"Niigata","新潟県",3398,46,3305,47,3,0,169798,"JP-15"
"Toyama","富山県",2037,47,1952,38,1,0,72925,"JP-16"
"Ishikawa","石川県",3929,41,3770,115,0,3,121754,"JP-17"
"Fukui","福井県",1259,161,1064,34,0,0,67203,"JP-18"
"Yamanashi","山梨県",2087,159,1908,21,1,1,54750,"JP-19"
"Nagano","長野県",5028,73,4939,91,2,75,205547,"JP-20"
"Gifu","岐阜県",9434,127,9121,186,3,0,267475,"JP-21"
"Shizuoka","静岡県",9258,292,8816,150,3,0,399710,"JP-22"
"Aichi","愛知県",50902,1058,48889,955,27,0,821429,"JP-23"
"Mie","三重県",5249,92,5184,111,4,138,142045,"JP-24"
"Shiga","滋賀県",5542,94,5358,90,6,0,150107,"JP-25"
"Kyoto","京都府",16559,158,16154,241,13,6,281007,"JP-26"
"Osaka","大阪府",103174,1397,98306,2661,167,810,2131244,"JP-27"
"Hyogo","兵庫県",40865,271,39311,1285,23,2,503814,"JP-28"
"Nara","奈良県",8294,185,7980,129,6,0,166297,"JP-29"
"Wakayama","和歌山県",2676,18,2551,49,2,58,41689,"JP-30"
"Tottori","鳥取県",466,2,455,2,0,7,82440,"JP-31"
"Shimane","島根県",552,3,548,1,1,0,29812,"JP-32"
"Okayama","岡山県",7588,72,7385,126,8,5,162012,"JP-33"
"Hiroshima","広島県",11481,166,11121,174,12,20,546309,"JP-34"
"Yamaguchi","山口県",3133,60,2996,77,1,0,119622,"JP-35"
"Tokushima","徳島県",1655,8,1584,63,0,0,64370,"JP-36"
"Kagawa","香川県",2093,24,2044,30,1,5,85156,"JP-37"
"Ehime","愛媛県",2752,9,2668,75,3,0,95448,"JP-38"
"Kochi","高知県",1810,99,1686,25,6,0,11319,"JP-39"
"Fukuoka","福岡県",35456,491,34429,520,15,16,824708,"JP-40"
"Saga","佐賀県",2554,16,2551,24,0,37,56355,"JP-41"
"Nagasaki","長崎県",3166,78,3019,69,0,0,123503,"JP-42"
"Kumamoto","熊本県",6477,74,6287,116,5,0,81916,"JP-43"
"Oita","大分県",3491,32,3397,62,1,0,166580,"JP-44"
"Miyazaki","宮崎県",3076,20,3019,27,0,10,44161,"JP-45"
"Kagoshima","鹿児島県",3667,54,3608,38,1,33,110609,"JP-46"
"Okinawa","沖縄県",20632,1107,19350,181,61,6,249040,"JP-47"
