"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",3055,408,2538,109,6,0,81092
"Aomori","青森県",227,90,133,4,2,0,4905
"Iwate","岩手県",27,2,25,0,0,0,5309
"Miyagi","宮城県",700,154,544,2,4,0,14012
"Akita","秋田県",63,3,59,0,0,1,2487
"Yamagata","山形県",86,5,80,1,0,0,6112
"Fukushima","福島県",388,29,353,6,4,0,29196
"Ibaraki","茨城県",768,31,719,18,0,0,13826
"Tochigi","栃木県",489,25,464,1,0,1,42067
"Gunma","群馬県",900,84,797,19,5,0,29312
"Saitama","埼玉県",5856,390,5359,107,10,0,184967
"Chiba","千葉県",5034,395,4559,80,10,0,126729
"Tokyo","東京都",31096,1755,28886,455,33,0,598993
"Kanagawa","神奈川県",8711,554,7987,170,20,0,199811
"Niigata","新潟県",184,5,179,0,0,0,17765
"Toyama","富山県",423,1,396,26,0,0,14487
"Ishikawa","石川県",810,17,744,49,0,0,17272
"Fukui","福井県",257,2,244,11,0,0,11058
"Yamanashi","山梨県",212,10,196,6,0,0,11693
"Nagano","長野県",341,11,329,4,0,3,23025
"Gifu","岐阜県",686,34,641,11,1,0,26934
"Shizuoka","静岡県",636,52,582,2,0,0,42455
"Aichi","愛知県",6130,422,5613,95,9,0,98303
"Mie","三重県",565,17,541,7,3,0,15683
"Shiga","滋賀県",552,20,523,9,0,0,14455
"Kyoto","京都府",2014,73,1911,30,0,0,52347
"Osaka","大阪府",12753,906,11586,242,25,19,236613
"Hyogo","兵庫県",3222,167,2992,63,13,0,68579
"Nara","奈良県",648,29,607,10,0,2,24620
"Wakayama","和歌山県",275,10,256,4,2,5,10428
"Tottori","鳥取県",38,3,35,0,0,0,5770
"Shimane","島根県",141,1,141,0,0,1,6271
"Okayama","岡山県",286,54,172,4,0,56,11198
"Hiroshima","広島県",659,11,643,5,0,0,27466
"Yamaguchi","山口県",213,4,207,2,0,0,11915
"Tokushima","徳島県",164,0,155,9,0,0,7477
"Kagawa","香川県",101,4,95,2,0,0,13518
"Ehime","愛媛県",116,0,110,6,0,0,4371
"Kochi","高知県",144,2,138,4,0,0,3644
"Fukuoka","福岡県",5226,82,5042,102,4,0,164668
"Saga","佐賀県",254,0,256,0,0,2,7081
"Nagasaki","長崎県",244,1,240,3,0,0,22417
"Kumamoto","熊本県",786,33,736,8,1,9,19224
"Oita","大分県",159,0,156,3,0,0,20960
"Miyazaki","宮崎県",367,1,366,1,0,1,8791
"Kagoshima","鹿児島県",468,5,459,12,1,8,22179
"Okinawa","沖縄県",3336,344,2934,63,7,5,57775
