"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",2986,383,2494,109,5,0,80053
"Aomori","青森県",222,99,120,3,1,0,4814
"Iwate","岩手県",27,2,25,0,0,0,5309
"Miyagi","宮城県",689,149,538,2,4,0,13900
"Akita","秋田県",61,2,59,0,0,0,2487
"Yamagata","山形県",86,5,80,1,0,0,6112
"Fukushima","福島県",387,31,350,6,4,0,28967
"Ibaraki","茨城県",764,29,717,18,1,0,13826
"Tochigi","栃木県",487,23,464,1,0,1,41890
"Gunma","群馬県",894,93,782,19,5,0,29150
"Saitama","埼玉県",5826,402,5318,106,9,0,184831
"Chiba","千葉県",4997,384,4534,79,11,0,125480
"Tokyo","東京都",30881,1708,28718,455,31,0,595581
"Kanagawa","神奈川県",8646,554,7922,170,20,0,199811
"Niigata","新潟県",183,4,179,0,0,0,17727
"Toyama","富山県",423,1,396,26,0,0,14487
"Ishikawa","石川県",806,14,743,49,0,0,17083
"Fukui","福井県",256,1,244,11,0,0,11058
"Yamanashi","山梨県",212,10,196,6,0,0,11693
"Nagano","長野県",339,9,329,4,0,3,23025
"Gifu","岐阜県",681,34,636,11,1,0,26803
"Shizuoka","静岡県",636,52,582,2,0,0,42455
"Aichi","愛知県",6079,385,5600,94,11,0,97852
"Mie","三重県",563,9,547,7,3,0,15683
"Shiga","滋賀県",547,17,521,9,0,0,14156
"Kyoto","京都府",2014,73,1911,30,0,0,52347
"Osaka","大阪府",12610,813,11540,238,26,19,234636
"Hyogo","兵庫県",3202,158,2981,63,14,0,68117
"Nara","奈良県",639,22,607,10,0,0,24620
"Wakayama","和歌山県",274,9,256,4,2,5,10406
"Tottori","鳥取県",38,3,35,0,0,0,5770
"Shimane","島根県",141,1,140,0,0,0,6245
"Okayama","岡山県",273,54,172,4,0,43,11198
"Hiroshima","広島県",659,11,643,5,0,0,27466
"Yamaguchi","山口県",213,4,207,2,0,0,11913
"Tokushima","徳島県",164,0,155,9,0,0,7462
"Kagawa","香川県",101,4,95,2,0,0,13467
"Ehime","愛媛県",116,0,110,6,0,0,4371
"Kochi","高知県",144,3,137,4,0,0,3640
"Fukuoka","福岡県",5217,75,5041,101,4,0,163838
"Saga","佐賀県",254,0,256,0,0,2,7074
"Nagasaki","長崎県",244,1,240,3,0,0,22311
"Kumamoto","熊本県",786,33,736,8,1,9,19224
"Oita","大分県",159,0,156,3,0,0,20779
"Miyazaki","宮崎県",367,1,366,1,0,1,8791
"Kagoshima","鹿児島県",468,5,459,12,1,8,22179
"Okinawa","沖縄県",3304,342,2906,61,7,5,57775
