"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",370,185,171,14
"Aomori","青森県",22,17,5,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",79,71,8,0
"Akita","秋田県",16,11,5,0
"Yamagata","山形県",58,58,0,0
"Fukushima","福島県",52,49,3,0
"Ibaraki","茨城県",131,115,11,5
"Tochigi","栃木県",44,36,8,0
"Gunma","群馬県",114,105,5,4
"Saitama","埼玉県",575,534,32,9
"Chiba","千葉県",609,549,54,6
"Tokyo","東京都",2807,2729,59,19
"Kanagawa","神奈川県",710,639,54,17
"Niigata","新潟県",53,24,29,0
"Toyama","富山県",69,67,2,0
"Ishikawa","石川県",160,151,5,4
"Fukui","福井県",104,94,8,2
"Yamanashi","山梨県",46,37,9,0
"Nagano","長野県",47,43,4,0
"Gifu","岐阜県",136,118,16,2
"Shizuoka","静岡県",51,46,5,0
"Aichi","愛知県",374,284,66,24
"Mie","三重県",32,20,11,1
"Shiga","滋賀県",68,57,10,1
"Kyoto","京都府",235,179,53,3
"Osaka","大阪府",1076,885,182,9
"Hyogo","兵庫県",480,400,63,17
"Nara","奈良県",56,43,12,1
"Wakayama","和歌山県",39,19,19,1
"Tottori","鳥取県",1,1,0,0
"Shimane","島根県",15,15,0,0
"Okayama","岡山県",18,17,1,0
"Hiroshima","広島県",124,116,8,0
"Yamaguchi","山口県",30,25,5,0
"Tokushima","徳島県",3,0,3,0
"Kagawa","香川県",24,23,1,0
"Ehime","愛媛県",41,35,4,2
"Kochi","高知県",63,44,18,1
"Fukuoka","福岡県",476,401,66,9
"Saga","佐賀県",16,15,1,0
"Nagasaki","長崎県",17,15,2,0
"Kumamoto","熊本県",35,28,6,1
"Oita","大分県",54,36,17,1
"Miyazaki","宮崎県",17,13,4,0
"Kagoshima","鹿児島県",6,5,1,0
"Okinawa","沖縄県",101,94,6,1
