"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",60122,641,58006,1466,14,9,1086014,"JP-01"
"Aomori","青森県",5617,319,5263,35,6,0,84293,"JP-02"
"Iwate","岩手県",3477,38,3387,52,0,0,118254,"JP-03"
"Miyagi","宮城県",16151,295,15729,116,4,11,234511,"JP-04"
"Akita","秋田県",1853,39,1788,26,1,0,25593,"JP-05"
"Yamagata","山形県",3494,60,3378,56,0,0,93734,"JP-06"
"Fukushima","福島県",9423,104,9145,174,3,0,398439,"JP-07"
"Ibaraki","茨城県",24021,465,23342,214,17,0,39484,"JP-08"
"Tochigi","栃木県",15139,351,14675,113,9,0,473480,"JP-09"
"Gunma","群馬県",16522,251,16101,170,16,0,284438,"JP-10"
"Saitama","埼玉県",114249,2704,110550,995,66,0,1417130,"JP-11"
"Chiba","千葉県",99138,1672,96478,988,43,0,1039892,"JP-12"
"Tokyo","東京都",374529,4654,367003,2872,129,0,3556769,"JP-13"
"Kanagawa","神奈川県",167081,2214,163621,1246,102,0,1542744,"JP-14"
"Niigata","新潟県",7767,317,7392,58,3,0,273263,"JP-15"
"Toyama","富山県",4778,73,4655,50,4,0,110333,"JP-16"
"Ishikawa","石川県",7810,134,7531,123,3,22,185916,"JP-17"
"Fukui","福井県",3015,109,2870,36,0,0,112767,"JP-18"
"Yamanashi","山梨県",5034,102,4903,29,0,0,108734,"JP-19"
"Nagano","長野県",8689,147,8500,95,1,53,303798,"JP-20"
"Gifu","岐阜県",18587,422,18136,210,8,181,393822,"JP-21"
"Shizuoka","静岡県",26503,513,25786,204,9,0,595610,"JP-22"
"Aichi","愛知県",104643,4452,99065,1126,51,0,1252640,"JP-23"
"Mie","三重県",14575,403,14332,159,7,319,258291,"JP-24"
"Shiga","滋賀県",12162,239,11824,99,3,0,246776,"JP-25"
"Kyoto","京都府",35299,1479,33504,264,30,52,410677,"JP-26"
"Osaka","大阪府",198469,5521,188116,2947,401,1885,3336040,"JP-27"
"Hyogo","兵庫県",76783,1836,73564,1383,41,0,724283,"JP-28"
"Nara","奈良県",15594,362,15085,147,9,0,241214,"JP-29"
"Wakayama","和歌山県",5216,85,4969,59,10,103,63746,"JP-30"
"Tottori","鳥取県",1635,22,1585,5,0,23,141939,"JP-31"
"Shimane","島根県",1584,47,1534,3,0,0,51491,"JP-32"
"Okayama","岡山県",15061,254,14612,135,5,60,253818,"JP-33"
"Hiroshima","広島県",21462,416,20850,196,7,0,866437,"JP-34"
"Yamaguchi","山口県",5557,96,5372,89,0,0,179174,"JP-35"
"Tokushima","徳島県",3233,70,3099,64,2,0,100584,"JP-36"
"Kagawa","香川県",4673,69,4567,36,3,1,125377,"JP-37"
"Ehime","愛媛県",5116,137,4898,81,4,0,145646,"JP-38"
"Kochi","高知県",4084,58,3995,31,1,0,93261,"JP-39"
"Fukuoka","福岡県",73752,3330,69712,607,25,103,1214937,"JP-40"
"Saga","佐賀県",5712,64,5666,29,1,47,98789,"JP-41"
"Nagasaki","長崎県",5957,106,5780,71,1,0,173741,"JP-42"
"Kumamoto","熊本県",14216,311,13771,134,6,0,120499,"JP-43"
"Oita","大分県",8038,158,7799,81,2,0,253206,"JP-44"
"Miyazaki","宮崎県",6103,98,5940,40,5,25,71971,"JP-45"
"Kagoshima","鹿児島県",9039,98,8940,64,3,63,165502,"JP-46"
"Okinawa","沖縄県",49385,1348,47615,297,51,125,383471,"JP-47"
