"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",42386,757,40141,1417,10,71,820212,"JP-01"
"Aomori","青森県",2579,42,2506,31,1,0,53679,"JP-02"
"Iwate","岩手県",1855,102,1706,47,1,0,90975,"JP-03"
"Miyagi","宮城県",9549,294,9149,91,3,15,166124,"JP-04"
"Akita","秋田県",974,50,904,20,1,0,16564,"JP-05"
"Yamagata","山形県",2084,51,1986,47,0,0,68632,"JP-06"
"Fukushima","福島県",5171,167,4843,161,7,0,297527,"JP-07"
"Ibaraki","茨城県",11117,360,10591,166,4,0,34230,"JP-08"
"Tochigi","栃木県",7397,221,7093,83,11,0,317688,"JP-09"
"Gunma","群馬県",8143,74,7915,154,0,0,203483,"JP-10"
"Saitama","埼玉県",49682,2548,46292,842,30,0,1025046,"JP-11"
"Chiba","千葉県",43574,1896,40953,725,17,0,737214,"JP-12"
"Tokyo","東京都",189116,8993,177854,2269,58,0,2670446,"JP-13"
"Kanagawa","神奈川県",73113,3362,68776,975,32,0,1100250,"JP-14"
"Niigata","新潟県",3577,132,3391,54,1,0,182675,"JP-15"
"Toyama","富山県",2085,35,2012,38,2,0,77808,"JP-16"
"Ishikawa","石川県",4212,234,3859,115,1,4,129629,"JP-17"
"Fukui","福井県",1421,70,1315,36,0,0,74087,"JP-18"
"Yamanashi","山梨県",2176,47,2108,21,0,0,65656,"JP-19"
"Nagano","長野県",5086,35,5033,94,1,76,216101,"JP-20"
"Gifu","岐阜県",9566,94,9285,187,3,0,283937,"JP-21"
"Shizuoka","静岡県",9833,358,9322,153,4,0,429699,"JP-22"
"Aichi","愛知県",52019,721,50303,995,11,0,876763,"JP-23"
"Mie","三重県",5466,166,5326,113,3,139,152748,"JP-24"
"Shiga","滋賀県",5688,95,5503,90,2,0,161781,"JP-25"
"Kyoto","京都府",17069,263,16506,249,5,51,298367,"JP-26"
"Osaka","大阪府",106746,2486,100719,2708,110,833,2324809,"JP-27"
"Hyogo","兵庫県",41743,545,39888,1311,16,1,534767,"JP-28"
"Nara","奈良県",8595,183,8280,132,1,0,178273,"JP-29"
"Wakayama","和歌山県",2742,39,2595,49,0,59,42930,"JP-30"
"Tottori","鳥取県",577,49,476,2,0,50,89337,"JP-31"
"Shimane","島根県",583,27,554,2,0,0,32936,"JP-32"
"Okayama","岡山県",7686,39,7472,127,1,48,174589,"JP-33"
"Hiroshima","広島県",11655,92,11372,178,4,13,570271,"JP-34"
"Yamaguchi","山口県",3193,32,3081,80,1,0,126574,"JP-35"
"Tokushima","徳島県",1700,38,1599,63,0,0,68466,"JP-36"
"Kagawa","香川県",2132,24,2082,31,0,5,90464,"JP-37"
"Ehime","愛媛県",2794,41,2678,75,2,0,100728,"JP-38"
"Kochi","高知県",1955,74,1852,29,1,0,58913,"JP-39"
"Fukuoka","福岡県",36385,584,35196,526,9,79,876874,"JP-40"
"Saga","佐賀県",2597,24,2582,24,0,33,60378,"JP-41"
"Nagasaki","長崎県",3272,55,3150,69,0,2,131081,"JP-42"
"Kumamoto","熊本県",6516,31,6366,119,2,0,82840,"JP-43"
"Oita","大分県",3527,28,3435,64,0,0,178153,"JP-44"
"Miyazaki","宮崎県",3118,12,3066,27,0,13,44922,"JP-45"
"Kagoshima","鹿児島県",3776,54,3716,39,0,33,115042,"JP-46"
"Okinawa","沖縄県",21812,691,20912,215,37,6,268120,"JP-47"
