"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",615,388,202,25
"Aomori","青森県",22,8,14,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",85,54,31,0
"Akita","秋田県",16,9,7,0
"Yamagata","山形県",66,34,32,0
"Fukushima","福島県",69,50,19,0
"Ibaraki","茨城県",161,131,24,6
"Tochigi","栃木県",52,39,13,0
"Gunma","群馬県",141,117,15,9
"Saitama","埼玉県",806,754,36,16
"Chiba","千葉県",786,670,97,19
"Tokyo","東京都",3922,3844,59,19
"Kanagawa","神奈川県",959,813,120,26
"Niigata","新潟県",69,37,32,0
"Toyama","富山県",177,165,9,3
"Ishikawa","石川県",229,208,16,5
"Fukui","福井県",121,83,33,5
"Yamanashi","山梨県",51,29,22,0
"Nagano","長野県",66,49,17,0
"Gifu","岐阜県",146,82,57,7
"Shizuoka","静岡県",63,50,13,0
"Aichi","愛知県",476,380,66,30
"Mie","三重県",45,28,16,1
"Shiga","滋賀県",94,71,22,1
"Kyoto","京都府",294,145,142,7
"Osaka","大阪府",1493,1214,252,27
"Hyogo","兵庫県",627,533,77,17
"Nara","奈良県",76,61,14,1
"Wakayama","和歌山県",58,30,27,1
"Tottori","鳥取県",3,2,1,0
"Shimane","島根県",22,20,2,0
"Okayama","岡山県",22,17,5,0
"Hiroshima","広島県",145,129,15,1
"Yamaguchi","山口県",31,13,18,0
"Tokushima","徳島県",5,2,3,0
"Kagawa","香川県",28,23,5,0
"Ehime","愛媛県",47,20,24,3
"Kochi","高知県",73,43,28,2
"Fukuoka","福岡県",606,443,148,15
"Saga","佐賀県",36,30,6,0
"Nagasaki","長崎県",16,9,6,1
"Kumamoto","熊本県",45,33,11,1
"Oita","大分県",60,33,26,1
"Miyazaki","宮崎県",17,9,8,0
"Kagoshima","鹿児島県",10,7,3,0
"Okinawa","沖縄県",133,118,11,4
