"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",434,245,171,18
"Aomori","青森県",22,16,6,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",83,75,8,0
"Akita","秋田県",16,11,5,0
"Yamagata","山形県",61,51,10,0
"Fukushima","福島県",62,59,3,0
"Ibaraki","茨城県",139,118,16,5
"Tochigi","栃木県",46,38,8,0
"Gunma","群馬県",122,103,14,5
"Saitama","埼玉県",642,601,32,9
"Chiba","千葉県",661,582,71,8
"Tokyo","東京都",3095,3017,59,19
"Kanagawa","神奈川県",784,694,73,17
"Niigata","新潟県",56,27,29,0
"Toyama","富山県",92,87,4,1
"Ishikawa","石川県",178,169,5,4
"Fukui","福井県",112,85,23,4
"Yamanashi","山梨県",49,40,9,0
"Nagano","長野県",52,48,4,0
"Gifu","岐阜県",139,120,16,3
"Shizuoka","静岡県",52,44,8,0
"Aichi","愛知県",401,310,66,25
"Mie","三重県",36,24,11,1
"Shiga","滋賀県",71,60,10,1
"Kyoto","京都府",251,178,70,3
"Osaka","大阪府",1212,967,233,12
"Hyogo","兵庫県",513,431,65,17
"Nara","奈良県",62,47,14,1
"Wakayama","和歌山県",46,25,20,1
"Tottori","鳥取県",3,3,0,0
"Shimane","島根県",16,16,0,0
"Okayama","岡山県",19,16,3,0
"Hiroshima","広島県",132,121,11,0
"Yamaguchi","山口県",30,19,11,0
"Tokushima","徳島県",3,0,3,0
"Kagawa","香川県",25,24,1,0
"Ehime","愛媛県",45,34,8,3
"Kochi","高知県",68,49,18,1
"Fukuoka","福岡県",516,440,66,10
"Saga","佐賀県",17,16,1,0
"Nagasaki","長崎県",17,15,2,0
"Kumamoto","熊本県",39,32,6,1
"Oita","大分県",54,35,18,1
"Miyazaki","宮崎県",17,13,4,0
"Kagoshima","鹿児島県",8,7,1,0
"Okinawa","沖縄県",110,103,6,1
