"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",42897,983,40475,1422,6,17,833746,"JP-01"
"Aomori","青森県",2608,60,2517,31,0,0,54372,"JP-02"
"Iwate","岩手県",1887,81,1759,47,0,0,91957,"JP-03"
"Miyagi","宮城県",9646,257,9287,91,2,11,168104,"JP-04"
"Akita","秋田県",988,42,926,20,1,0,16817,"JP-05"
"Yamagata","山形県",2091,26,2018,47,0,0,69954,"JP-06"
"Fukushima","福島県",5266,160,4944,162,4,0,301900,"JP-07"
"Ibaraki","茨城県",11418,479,10773,166,4,0,34393,"JP-08"
"Tochigi","栃木県",7555,288,7183,84,8,0,321213,"JP-09"
"Gunma","群馬県",8200,126,7962,155,0,43,207093,"JP-10"
"Saitama","埼玉県",51487,3725,46917,845,28,0,1043841,"JP-11"
"Chiba","千葉県",44986,2414,41844,728,18,0,751621,"JP-12"
"Tokyo","東京都",196400,11957,182166,2277,68,0,2718416,"JP-13"
"Kanagawa","神奈川県",75762,4211,70571,980,48,0,1119795,"JP-14"
"Niigata","新潟県",3696,196,3446,54,1,0,186709,"JP-15"
"Toyama","富山県",2138,76,2024,38,2,0,78919,"JP-16"
"Ishikawa","石川県",4435,352,3958,116,1,9,132260,"JP-17"
"Fukui","福井県",1440,49,1355,36,0,0,75484,"JP-18"
"Yamanashi","山梨県",2218,47,2150,21,0,0,65656,"JP-19"
"Nagano","長野県",5119,49,5052,94,0,76,219477,"JP-20"
"Gifu","岐阜県",9622,109,9325,188,2,0,287871,"JP-21"
"Shizuoka","静岡県",10079,521,9404,154,3,0,437255,"JP-22"
"Aichi","愛知県",52493,898,50593,1002,9,0,891300,"JP-23"
"Mie","三重県",5551,187,5390,113,3,139,156553,"JP-24"
"Shiga","滋賀県",5757,122,5543,92,1,0,165332,"JP-25"
"Kyoto","京都府",17341,405,16634,249,6,53,302456,"JP-26"
"Osaka","大阪府",108614,3276,101762,2716,142,860,2376024,"JP-27"
"Hyogo","兵庫県",42255,808,40132,1315,13,0,542311,"JP-28"
"Nara","奈良県",8722,226,8363,133,4,0,181075,"JP-29"
"Wakayama","和歌山県",2785,61,2614,49,0,61,43424,"JP-30"
"Tottori","鳥取県",633,123,480,2,1,28,93171,"JP-31"
"Shimane","島根県",655,84,569,2,0,0,32936,"JP-32"
"Okayama","岡山県",7810,104,7518,127,1,61,178588,"JP-33"
"Hiroshima","広島県",11772,132,11430,178,4,32,577995,"JP-34"
"Yamaguchi","山口県",3204,36,3088,80,0,0,128696,"JP-35"
"Tokushima","徳島県",1729,57,1610,63,0,1,69684,"JP-36"
"Kagawa","香川県",2152,31,2094,32,0,5,91907,"JP-37"
"Ehime","愛媛県",2817,55,2686,76,2,0,102711,"JP-38"
"Kochi","高知県",1987,74,1884,29,2,0,60619,"JP-39"
"Fukuoka","福岡県",36948,803,35466,528,10,151,889653,"JP-40"
"Saga","佐賀県",2633,57,2584,24,0,32,61421,"JP-41"
"Nagasaki","長崎県",3320,92,3161,69,0,2,133082,"JP-42"
"Kumamoto","熊本県",6549,48,6380,121,0,0,83222,"JP-43"
"Oita","大分県",3550,45,3441,64,0,0,181182,"JP-44"
"Miyazaki","宮崎県",3139,32,3073,27,0,7,45086,"JP-45"
"Kagoshima","鹿児島県",3817,56,3742,39,1,20,115829,"JP-46"
"Okinawa","沖縄県",22423,997,21188,224,41,14,272699,"JP-47"
